,fasta_names,key,UID,Accession,Common.Name,Description,Mean.Coverage,Organism,Ref.Seq.Name,host,hostgenus,formal_tax,group,new
18,Hylocereus_polyrhizus_SRR11190796__NC_024458,11190796__NC_024458,SRR11190796D,,,"250,762 reads assembled to NC_024458",5579.396286,SRR11190796 Plant FR-2 NC_024458,NC_024458,Selenicereus polyrhizus,Selenicereus,,Pitaya Virus X,TRUE
19,Hylocereus_polyrhizus_SRR11190797__NC_002815,11190797__NC_002815,SRR11190797A,,,"108,752 reads assembled to NC_002815",2426.628213,SRR11190797 Plant FR-1 NC_002815,NC_002815,Selenicereus polyrhizus,Selenicereus,,Cactus Virus X Variant A,TRUE
20,Hylocereus_polyrhizus_SRR11190797__NC_006059,11190797__NC_006059,SRR11190797B,,,"4,164 reads assembled to NC_006059",92.36262077,SRR11190797 Plant FR-1 NC_006059,NC_006059,Selenicereus polyrhizus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
21,Hylocereus_polyrhizus_SRR11190797__NC_011659,11190797__NC_011659,SRR11190797C,,,"48,262 reads assembled to NC_011659",1077.0199,SRR11190797 Plant FR-1 NC_011659,NC_011659,Selenicereus polyrhizus,Selenicereus,,,TRUE
22,Hylocereus_polyrhizus_SRR11190797__NC_024458,11190797__NC_024458,SRR11190797D,,,"174,598 reads assembled to NC_024458",3855.833159,SRR11190797 Plant FR-1 NC_024458,NC_024458,Selenicereus polyrhizus,Selenicereus,,Pitaya Virus X,TRUE
23,Hylocereus_polyrhizus_SRR11190798__NC_002815,11190798__NC_002815,SRR11190798A,,,"46,438 reads assembled to NC_002815",1035.785455,SRR11190798 Plant DH-3 NC_002815,NC_002815,Selenicereus polyrhizus,Selenicereus,,Cactus Virus X Variant A,TRUE
24,Hylocereus_polyrhizus_SRR11190798__NC_006059,11190798__NC_006059,SRR11190798B,,,"10,292 reads assembled to NC_006059",229.9144022,SRR11190798 Plant DH-3 NC_006059,NC_006059,Selenicereus polyrhizus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
25,Hylocereus_polyrhizus_SRR11190798__NC_011659,11190798__NC_011659,SRR11190798C,,,"74,072 reads assembled to NC_011659",1654.827831,SRR11190798 Plant DH-3 NC_011659,NC_011659,Selenicereus polyrhizus,Selenicereus,,Schlumbergera Virus X,TRUE
26,Hylocereus_polyrhizus_SRR11190798__NC_024458,11190798__NC_024458,SRR11190798D,,,"271,450 reads assembled to NC_024458",6005.159653,SRR11190798 Plant DH-3 NC_024458,NC_024458,Selenicereus polyrhizus,Selenicereus,,Pitaya Virus X,TRUE
27,Hylocereus_polyrhizus_SRR11190801__NC_002815,11190801__NC_002815,SRR11190801A,,,"45,396 reads assembled to NC_002815",1011.93423,SRR11190801 Plant DH-2 NC_002815,NC_002815,Selenicereus polyrhizus,Selenicereus,,Cactus Virus X Variant A,TRUE
28,Hylocereus_polyrhizus_SRR11190801__NC_006059,11190801__NC_006059,SRR11190801B,,,"8,536 reads assembled to NC_006059",190.022494,SRR11190801 Plant DH-2 NC_006059,NC_006059,Selenicereus polyrhizus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
29,Hylocereus_polyrhizus_SRR11190801__NC_011659,11190801__NC_011659,SRR11190801C,,,"118,540 reads assembled to NC_011659",2645.037087,SRR11190801 Plant DH-2 NC_011659,NC_011659,Selenicereus polyrhizus,Selenicereus,,Schlumbergera Virus X,TRUE
30,Hylocereus_polyrhizus_SRR11190801__NC_024458,11190801__NC_024458,SRR11190801D,,,"351,682 reads assembled to NC_024458",7772.003744,SRR11190801 Plant DH-2 NC_024458,NC_024458,Selenicereus polyrhizus,Selenicereus,,Pitaya Virus X,TRUE
31,Hylocereus_polyrhizus_SRR11190802__NC_002815,11190802__NC_002815,SRR11190802A,,,"45,326 reads assembled to NC_002815",1010.619595,SRR11190802 Plant DH-1 NC_002815,NC_002815,Selenicereus polyrhizus,Selenicereus,,Cactus Virus X Variant A,TRUE
32,Hylocereus_polyrhizus_SRR11190802__NC_006059,11190802__NC_006059,SRR11190802B,,,"6,190 reads assembled to NC_006059",138.1933877,SRR11190802 Plant DH-1 NC_006059,NC_006059,Selenicereus polyrhizus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
33,Hylocereus_polyrhizus_SRR11190802__NC_011659,11190802__NC_011659,SRR11190802C,,,"137,996 reads assembled to NC_011659",3083.758782,SRR11190802 Plant DH-1 NC_011659,NC_011659,Selenicereus polyrhizus,Selenicereus,,Schlumbergera Virus X,TRUE
34,Hylocereus_polyrhizus_SRR11190802__NC_024458,11190802__NC_024458,SRR11190802D,,,"358,996 reads assembled to NC_024458",7939.711996,SRR11190802 Plant DH-1 NC_024458,NC_024458,Selenicereus polyrhizus,Selenicereus,,Pitaya Virus X,TRUE
35,Hylocereus_undatus_SRR11190791__NC_002815,11190791__NC_002815,SRR11190791A,,,"452,784 reads assembled to NC_002815",10097.06199,SRR11190791 Plant BSJ-1 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
36,Hylocereus_undatus_SRR11190791__NC_024458,11190791__NC_024458,SRR11190791B,,,"183,824 reads assembled to NC_024458",4064.588588,SRR11190791 Plant BSJ-1 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
37,Hylocereus_undatus_SRR11190792__NC_002815,11190792__NC_002815,SRR11190792A,,,"48,082 reads assembled to NC_002815",1079.404143,SRR11190792 Plant BR-3 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
38,Hylocereus_undatus_SRR11190792__NC_024458,11190792__NC_024458,SRR11190792B,,,"3,054 reads assembled to NC_024458",67.93230493,SRR11190792 Plant BR-3 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,,TRUE
39,Hylocereus_undatus_SRR11190793__NC_002815,11190793__NC_002815,SRR11190793A,,,"112,772 reads assembled to NC_002815",2536.704868,SRR11190793 Plant BR-2 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
40,Hylocereus_undatus_SRR11190793__NC_024458,11190793__NC_024458,SRR11190793B,,,"14,622 reads assembled to NC_024458",325.7418002,SRR11190793 Plant BR-2 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
41,Hylocereus_undatus_SRR11190799__NC_002815,11190799__NC_002815,SRR11190799A,,,"353,010 reads assembled to NC_002815",7857.462957,SRR11190799 Plant BSJ-3 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
42,Hylocereus_undatus_SRR11190799__NC_024458,11190799__NC_024458,SRR11190799B,,,"164,078 reads assembled to NC_024458",3618.940692,SRR11190799 Plant BSJ-3 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
43,Hylocereus_undatus_SRR11190800__NC_002815,11190800__NC_002815,SRR11190800A,,,"364,240 reads assembled to NC_002815",8117.599335,SRR11190800 Plant BSJ-2 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
44,Hylocereus_undatus_SRR11190800__NC_024458,11190800__NC_024458,SRR11190800B,,,"235,002 reads assembled to NC_024458",5196.444361,SRR11190800 Plant BSJ-2 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
45,Hylocereus_undatus_SRR11603182__NC_002815,11603182__NC_002815,SRR11603182A,,,"150,860 reads assembled to NC_002815",3392.304203,SRR11603182 GW-peel-3 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
46,Hylocereus_undatus_SRR11603182__NC_024458,11603182__NC_024458,SRR11603182B,,,"173,498 reads assembled to NC_024458",3863.912236,SRR11603182 GW-peel-3 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
47,Hylocereus_undatus_SRR11603183__NC_002815,11603183__NC_002815,SRR11603183A,,,"96,454 reads assembled to NC_002815",2166.046719,SRR11603183 GW-peel-2 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
48,Hylocereus_undatus_SRR11603183__NC_011659,11603183__NC_011659,SRR11603183B,,,"69,716 reads assembled to NC_011659",1563.309362,SRR11603183 GW-peel-2 NC_011659,NC_011659,Selenicereus undatus,Selenicereus,,Schlumbergera Virus X,TRUE
49,Hylocereus_undatus_SRR11603183__NC_024458,11603183__NC_024458,SRR11603183C,,,"142,802 reads assembled to NC_024458",3174.849334,SRR11603183 GW-peel-2 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
50,Hylocereus_undatus_SRR11603184__NC_002815,11603184__NC_002815,SRR11603184A,,,"88,358 reads assembled to NC_002815",1987.160115,SRR11603184 GW-peel-1 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
51,Hylocereus_undatus_SRR11603184__NC_011659,11603184__NC_011659,SRR11603184B,,,"49,492 reads assembled to NC_011659",1111.767526,SRR11603184 GW-peel-1 NC_011659,NC_011659,Selenicereus undatus,Selenicereus,,Schlumbergera Virus X,TRUE
52,Hylocereus_undatus_SRR11603184__NC_024458,11603184__NC_024458,SRR11603184C,,,"135,636 reads assembled to NC_024458",3021.305826,SRR11603184 GW-peel-1 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
53,Hylocereus_undatus_SRR11603186__NC_002815,11603186__NC_002815,SRR11603186A,,,"285,868 reads assembled to NC_002815",6425.863925,SRR11603186 RR-pulp-3 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
54,Hylocereus_undatus_SRR11603186__NC_006059,11603186__NC_006059,SRR11603186B,,,"210,786 reads assembled to NC_006059",4738.702899,SRR11603186 RR-pulp-3 NC_006059,NC_006059,Selenicereus undatus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
55,Hylocereus_undatus_SRR11603186__NC_024458,11603186__NC_024458,SRR11603186C,,,"330,210 reads assembled to NC_024458",7346.561929,SRR11603186 RR-pulp-3 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
56,Hylocereus_undatus_SRR11603187__NC_002815,11603187__NC_002815,SRR11603187A,,,"113,460 reads assembled to NC_002815",2549.401119,SRR11603187 RR-pulp-2 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
57,Hylocereus_undatus_SRR11603187__NC_006059,11603187__NC_006059,SRR11603187B,,,"144,741 reads assembled to NC_006059",3252.259209,SRR11603187 RR-pulp-2 NC_006059,NC_006059,Selenicereus undatus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
58,Hylocereus_undatus_SRR11603187__NC_011659,11603187__NC_011659,SRR11603187C,,,"136,636 reads assembled to NC_011659",3063.347354,SRR11603187 RR-pulp-2 NC_011659,NC_011659,Selenicereus undatus,Selenicereus,,Schlumbergera Virus X,TRUE
59,Hylocereus_undatus_SRR11603187__NC_024458,11603187__NC_024458,SRR11603187D,,,"164,042 reads assembled to NC_024458",3647.956268,SRR11603187 RR-pulp-2 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
60,Hylocereus_undatus_SRR11603189__NC_002815,11603189__NC_002815,SRR11603189A,,,"77,762 reads assembled to NC_002815",1749.983217,SRR11603189 RR-peel-3 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
61,Hylocereus_undatus_SRR11603189__NC_006059,11603189__NC_006059,SRR11603189B,,,"234,138 reads assembled to NC_006059",5267.687953,SRR11603189 RR-peel-3 NC_006059,NC_006059,Selenicereus undatus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
62,Hylocereus_undatus_SRR11603189__NC_011659,11603189__NC_011659,SRR11603189C,,,"110,860 reads assembled to NC_011659",2489.361827,SRR11603189 RR-peel-3 NC_011659,NC_011659,Selenicereus undatus,Selenicereus,,Schlumbergera Virus X,TRUE
63,Hylocereus_undatus_SRR11603189__NC_024458,11603189__NC_024458,SRR11603189D,,,"143,848 reads assembled to NC_024458",3201.384454,SRR11603189 RR-peel-3 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
64,Hylocereus_undatus_SRR11603190__NC_002815,11603190__NC_002815,SRR11603190A,,,"75,202 reads assembled to NC_002815",1691.11521,SRR11603190 RR-peel-2 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
65,Hylocereus_undatus_SRR11603190__NC_006059,11603190__NC_006059,SRR11603190B,,,"176,564 reads assembled to NC_006059",3967.374245,SRR11603190 RR-peel-2 NC_006059,NC_006059,Selenicereus undatus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
66,Hylocereus_undatus_SRR11603190__NC_024458,11603190__NC_024458,SRR11603190C,,,"353,822 reads assembled to NC_024458",7867.770855,SRR11603190 RR-peel-2 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
67,Hylocereus_undatus_SRR11603191__NC_002815,11603191__NC_002815,SRR11603191A,,,"162,368 reads assembled to NC_002815",3650.517387,SRR11603191 RR-peel-1 NC_002815,NC_002815,Selenicereus undatus,Selenicereus,,Cactus Virus X Variant A,TRUE
68,Hylocereus_undatus_SRR11603191__NC_006059,11603191__NC_006059,SRR11603191B,,,"156,888 reads assembled to NC_006059",3527.400513,SRR11603191 RR-peel-1 NC_006059,NC_006059,Selenicereus undatus,Selenicereus,,Zygocactus Virus X Variant B1,TRUE
69,Hylocereus_undatus_SRR11603191__NC_024458,11603191__NC_024458,SRR11603191C,,,"223,108 reads assembled to NC_024458",4967.706006,SRR11603191 RR-peel-1 NC_024458,NC_024458,Selenicereus undatus,Selenicereus,,Pitaya Virus X,TRUE
70,JF930326,JF930326,JF930326,JF930326.1,,"Zygocactus virus X isolate P39, complete genome",NA,Zygocactus virus X JF930326.1,,Selenicereus sp.,Selenicereus,Zygocactus virus X,Zygocactus Virus X Variant B1,NA
71,JF930327,JF930327,JF930327,JF930327.1,,"Pitaya virus X isolate P37, complete genome",NA,Pitaya virus X,,Selenicereus sp.,Selenicereus,Pitaya virus X,Pitaya Virus X,NA
72,JF937699,JF937699,JF937699,JF937699.1,,"Cactus virus X isolate NTU, complete genome",NA,Cactus virus X JF937699.1,,Selenicereus sp.,Selenicereus,Cactus virus X,Cactus Virus X Variant B,NA
73,JX524226,JX524226,JX524226,JX524226.1,,"Papaya mosaic virus isolate PMV-HN, complete genome",NA,Papaya mosaic virus,,Carica papaya,Carica,,,NA
74,KM288842,KM288842,KM288842,,,,NA,KM288842,,Selenicereus sp.,Selenicereus,Zygocactus virus X,NA,NA
75,KM288843,KM288843,KM288843,NA,NA,NA,NA,NA,NA,Selenicereus sp.,Selenicereus,Zygocactus virus X,NA,NA
76,KM288844,KM288844,KM288844,NA,NA,NA,NA,NA,NA,Selenicereus sp.,Selenicereus,Zygocactus virus X,NA,NA
77,KM288845_extraction,KM288845_extraction,KM288845,NA,NA,NA,NA,NA,NA,Selenicereus sp.,Selenicereus,Zygocactus virus X,NA,NA
78,KM288846,KM288846,KM288846,KM288846.1,,"Cactus virus X isolate TW-5XB-1 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Cactus virus X KM288846.1,,Selenicereus sp.,Selenicereus,Cactus virus X,Cactus Virus X Variant B,NA
79,KM288847,KM288847,KM288847,KM288847.1,,"Cactus virus X isolate TW-456Y-1 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",NA,Cactus virus X KM288847.1,,Selenicereus sp.,Selenicereus,Cactus virus X,Cactus Virus X Variant B,NA
80,KM365479,KM365479,KM365479,KM365479.1,,"Cactus virus X isolate TW-5149-20 replication-associated protein (CVXgp1) gene, partial cds; and triple gene block protein 1 (CVXgp2), triple gene block protein 2 (CVXgp3), triple gene block protein 3 (CVXgp4), and coat protein (CVXgp5) genes, complete cds",NA,Cactus virus X KM365479.1,,Selenicereus sp.,Selenicereus,Cactus virus X,Cactus Virus X Variant A,NA
81,KP090203,KP090203,KP090203,KP090203.1,,"Schlumbergera virus X isolate Palma-PE, complete genome",NA,Schlumbergera virus X KP090203,,Opuntia cochenillifera,Opuntia,Schlumbergera virus X,Schlumbergera Virus X,NA
82,KT717325,KT717325,KT717325,KT717325.1,,"Plantago asiatica mosaic virus isolate kr, complete genome",NA,Plantago asiatica mosaic virus KT717325,,Lilium sp.,Lilium,,,NA
83,KU159093,KU159093,KU159093,KU159093.1,,"Plantago asiatica mosaic virus isolate Ko-YS, complete genome",NA,Plantago asiatica mosaic virus KU159093,,Lilium sp.,Lilium,,,NA
84,KU697313,KU697313,KU697313,KU697313.1,,"Plantago asiatica mosaic virus isolate Gunwi, complete genome",NA,Plantago asiatica mosaic virus KU697313,,Plantago asiatica,Plantago,,,NA
85,KU854929,KU854929,KU854929,KU854929.1,,"Schlumbergera virus X isolate nopal verdura 1, complete genome",NA,Schlumbergera virus X KU854929,,Opuntia ficus-indica,Opuntia,Schlumbergera virus X,Schlumbergera Virus X,NA
86,KU854931,KU854931,KU854931,KU854931.1,,"Opuntia virus X isolate nopal verdura-1, complete genome",NA,Opuntia virus X KU854931,,Opuntia ficus-indica,Opuntia,Opuntia virus X,Opuntia Virus X,NA
87,KX196173,KX196173,KX196173,KX196173.2,,"Senna mosaic virus isolate Brazilian, complete genome",NA,Senna mosaic virus,,Senna occidentalis,Senna,,,NA
88,KX883791,KX883791,KX883791,KX883791.1,,"Cactus virus X strain SCM51431 ORF1, ORF2, ORF3, and ORF4 genes, complete cds",NA,Cactus virus X SCM51431,,Diptera,Diptera,Cactus virus X,Cactus Virus X Variant B,NA
89,KY348771,KY348771,KY348771,KY348771.1,,"Opuntia virus X isolate Noptuna-Mex, complete genome",NA,Opuntia virus X KY348771,,Opuntia albicarpa cv. nopal tunero,Opuntia,Opuntia virus X,Opuntia Virus X,NA
90,LC107515,LC107515,LC107515,LC107515.1,AltMV,"Alternanthera mosaic virus genomic RNA, complete genome, isolate Ac",NA,Alternanthera mosaic virus LC107515,,Achyranthes bidentata,Achyranthes,,,NA
91,LC107517,LC107517,LC107517,LC107517.1,,"Hydrangea ringspot virus genomic RNA, complete genome, isolate Gu2",NA,Hydrangea ringspot virus,,Hydrangea macrophylla,Hydrangea,,,NA
92,LC128411,LC128411,LC128411,LC128411.1,,"Cactus virus X genomic RNA, complete genome",NA,Cactus virus X LC128411.1,,Selenicereus undatus,Selenicereus,Cactus virus X,Cactus Virus X Variant A,NA
93,LC155795,LC155795,LC155795,LC155795.1,,"Plantago asiatica mosaic virus genomic RNA, complete genome, isolate NJ",NA,Plantago asiatica mosaic virus LC155795,,Nandina domestica,Nandina,,,NA
94,MF978248,MF978248,MF978248,MF978248.1,,"Babaco mosaic virus isolate Tandapi, complete genome",NA,Babaco mosaic virus,,Vasconcellea x heilbornii,Vasconcellea,,,NA
95,MG210801,MG210801,MG210801,NA,NA,NA,NA,NA,NA,Mytilus coruscus,Mytilus,NA,NA,NA
96,MH423501,MH423501,MH423501,MH423501.1,AltMV,"Alternanthera mosaic virus isolate DH, complete genome",NA,Alternanthera mosaic virus MH423501,,Epiphyllum sp. cv. Dragon Heart,Epiphyllum,,,NA
97,Schlumbergera_truncata_15H02_sty__NC_002815,Schlumbergera_truncata_15H02_sty__NC_002815,Schlumbergera_truncata_15H02_sty,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
98,Schlumbergera_truncata_15H03_pol__NC_002815,Schlumbergera_truncata_15H03_pol__NC_002815,Schlumbergera_truncata_15H03_pol,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
99,Schlumbergera_truncata_15H03_sty__NC_002815_a,Schlumbergera_truncata_15H03_sty__NC_002815_a,Schlumbergera_truncata_15H03_sty_a,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
100,Schlumbergera_truncata_15H03_sty__NC_002815_b,Schlumbergera_truncata_15H03_sty__NC_002815_b,Schlumbergera_truncata_15H03_sty_b,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
101,Schlumbergera_truncata_15H04_pet__NC_002815,Schlumbergera_truncata_15H04_pet__NC_002815,Schlumbergera_truncata_15H04_pet,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
102,Schlumbergera_truncata_15H04_pol__NC_002815,Schlumbergera_truncata_15H04_pol__NC_002815,Schlumbergera_truncata_15H04_pol,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
103,Schlumbergera_truncata_15H04_sty__NC_002815,Schlumbergera_truncata_15H04_sty__NC_002815,Schlumbergera_truncata_15H04_sty,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
104,Schlumbergera_truncata_15H05_pol__NC_002815,Schlumbergera_truncata_15H05_pol__NC_002815,Schlumbergera_truncata_15H05_pol,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
105,Schlumbergera_truncata_15H06_pol__NC_002815,Schlumbergera_truncata_15H06_pol__NC_002815,Schlumbergera_truncata_15H06_pol,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
106,Schlumbergera_truncata_15H06_sty__NC_002815,Schlumbergera_truncata_15H06_sty__NC_002815,Schlumbergera_truncata_15H06_sty,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
107,Schlumbergera_truncata_19JSF_sty__NC_002815,Schlumbergera_truncata_19JSF_sty__NC_002815,Schlumbergera_truncata_19JSF_sty,NA,NA,NA,NA,NA,NA,Schlumbergera truncata,Schlumbergera,NA,NA,NA
