,Clover_yellow_mosaic_virus,Hydrangea_ringspot_virus,Plantago_asiatica_mosaic_virus_KU697313,Nandina_mosaic_virus,Plantago_asiatica_mosaic_virus_LC155795,Plantago_asiatica_mosaic_virus_KT717325,Plantago_asiatica_mosaic_virus_KU159093,Senna_mosaic_virus,Babaco_mosaic_virus,Papaya_mosaic_virus,Alternanthera_mosaic_virus_LC107515,Alternanthera_mosaic_virus_MH423501,Alternanthera_mosaic_virus_FJ822136,Alternanthera_mosaic_virus_GQ179646,Alternanthera_mosaic_virus_AY863024,Alternanthera_mosaic_virus_GQ179647,Opuntia_virus_Strain_CC10,Opuntia_virus_X_KY348771,Opuntia_virus_X_KU854931,Schlumbergera_virus_X_KU854929,SRR11190802_Plant_DH-1_NC_011659,Schlumbergera_virus_X_KP090203,Schlumbergera_virus_X_Strain_K11,SRR11190798_Plant_DH-3_NC_011659,SRR11190801_Plant_DH-2_NC_011659,SRR11603189_RR-peel-3_NC_011659,SRR11603187_RR-pulp-2_NC_011659,SRR11603183_GW-peel-2_NC_011659,SRR11603184_GW-peel-1_NC_011659,MG210801,SRR11190800_Plant_BSJ-2_NC_024458,SRR11190791_Plant_BSJ-1_NC_024458,SRR11190799_Plant_BSJ-3_NC_024458,SRR11190802_Plant_DH-1_NC_024458,SRR11190801_Plant_DH-2_NC_024458,SRR11190798_Plant_DH-3_NC_024458,SRR11190795_Plant_FR-3_NC_024458,Pitaya_virus_X,SRR11603182_GW-peel-3_NC_024458,SRR11603184_GW-peel-1_NC_024458,SRR11603183_GW-peel-2_NC_024458,SRR11190793_Plant_BR-2_NC_024458,SRR11190796_Plant_FR-2_NC_024458,SRR11190797_Plant_FR-1_NC_024458,SRR11603191_RR-peel-1_NC_024458,SRR11603189_RR-peel-3_NC_024458,SRR11603187_RR-pulp-2_NC_024458,SRR11603186_RR-pulp-3_NC_024458,SRR11603190_RR-peel-2_NC_024458,KM288845,SRR11190798_Plant_DH-3_NC_006059,SRR11190801_Plant_DH-2_NC_006059,SRR11190802_Plant_DH-1_NC_006059,SRR11190796_Plant_FR-2_NC_006059,SRR11190797_Plant_FR-1_NC_006059,Zygocactus_virus_X_Strain_B1,KM288844,Zygocactus_virus_X_JF930326.1,KM288842,SRR11603191_RR-peel-1_NC_006059,SRR11603189_RR-peel-3_NC_006059,SRR11603187_RR-pulp-2_NC_006059,SRR11603186_RR-pulp-3_NC_006059,SRR11603190_RR-peel-2_NC_006059,Cactus_virus_X_JF937699.1,Cactus_virus_ X_KM288846.1,Cactus_virus_ X_SCM51431,Schlumbergera_truncata_15H03_cons,Schlumbergera_truncata_19JSF_sty_NC_002815,Schlumbergera_truncata_15H04_cons,Schlumbergera_truncata_15H06_cons,Cactus_virus_ X_LC128411.1,SRR11603186_RR-pulp-3_NC_002815,SRR11603190_RR-peel-2_NC_002815,SRR11603191_RR-peel-1_NC_002815,SRR11603187_RR-pulp-2_NC_002815,SRR11603189_RR-peel-3_NC_002815,SRR11190793_Plant_BR-2_NC_002815,Cactus_virus_ X_KM365479.1,SRR11190792_Plant_BR-3_NC_002815,SRR11603183_GW-peel-2_NC_002815,SRR11190795_Plant_FR-3_NC_002815,Cactus_virus_ X_AF308158.2,SRR11190802_Plant_DH-1_NC_002815,SRR11190796_Plant_FR-2_NC_002815,SRR11190797_Plant_FR-1_NC_002815,SRR11603184_GW-peel-1_NC_002815,SRR11603182_GW-peel-3_NC_002815,SRR11190798_Plant_DH-3_NC_002815,SRR11190801_Plant_DH-2_NC_002815,SRR11190799_Plant_BSJ-3_NC_002815,SRR11190791_Plant_BSJ-1_NC_002815,SRR11190800_Plant_BSJ-2_NC_002815
Alternanthera_mosaic_virus_LC107515,0.313531353,0.330033003,0.326732673,0.323432343,0.343234323,0.336633663,0.336633663,0.207920792,0.184818482,0.174917492,0,0.092409241,0.092409241,0.095709571,0.099009901,0.099009901,0.379537954,0.379537954,0.379537954,0.343234323,0.363036304,0.363036304,0.359735974,0.366336634,0.366336634,0.366336634,0.366336634,0.366336634,0.366336634,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.343234323,0.349834983,0.349834983,0.349834983,0.349834983,0.346534653,0.346534653,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.326732673,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.320132013,0.316831683,0.316831683,0.323432343,0.310231023,0.313531353,0.313531353,0.313531353,0.313531353,0.330033003,0.330033003,0.326732673,0.316831683,0.316831683,0.320132013,0.320132013,0.313531353,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.330033003,0.316831683,0.316831683,0.316831683,0.333333333,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683
Alternanthera_mosaic_virus_MH423501,0.320132013,0.333333333,0.323432343,0.326732673,0.330033003,0.316831683,0.320132013,0.217821782,0.174917492,0.174917492,0.092409241,0,0.01320132,0.02970297,0.02310231,0.02640264,0.369636964,0.369636964,0.369636964,0.356435644,0.359735974,0.353135314,0.363036304,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.339933993,0.346534653,0.346534653,0.346534653,0.346534653,0.343234323,0.343234323,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.313531353,0.320132013,0.313531353,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.313531353,0.313531353,0.320132013,0.320132013,0.323432343,0.323432343,0.323432343,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.326732673,0.320132013,0.320132013,0.320132013,0.330033003,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013
Alternanthera_mosaic_virus_FJ822136,0.320132013,0.336633663,0.316831683,0.326732673,0.326732673,0.310231023,0.313531353,0.214521452,0.174917492,0.178217822,0.092409241,0.01320132,0,0.03630363,0.03630363,0.0330033,0.369636964,0.369636964,0.369636964,0.349834983,0.353135314,0.346534653,0.356435644,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.339933993,0.346534653,0.346534653,0.346534653,0.346534653,0.343234323,0.343234323,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.323432343,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.323432343,0.316831683,0.313531353,0.320132013,0.313531353,0.316831683,0.316831683,0.316831683,0.316831683,0.316831683,0.320132013,0.313531353,0.313531353,0.313531353,0.316831683,0.316831683,0.316831683,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.326732673,0.313531353,0.313531353,0.313531353,0.330033003,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353,0.313531353
Alternanthera_mosaic_virus_GQ179646,0.320132013,0.339933993,0.316831683,0.323432343,0.326732673,0.323432343,0.326732673,0.201320132,0.171617162,0.171617162,0.095709571,0.02970297,0.03630363,0,0.01320132,0.00330033,0.376237624,0.376237624,0.376237624,0.359735974,0.353135314,0.346534653,0.356435644,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.339933993,0.346534653,0.346534653,0.346534653,0.346534653,0.343234323,0.343234323,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.330033003,0.326732673,0.326732673,0.320132013,0.323432343,0.323432343,0.323432343,0.323432343,0.326732673,0.323432343,0.323432343,0.320132013,0.320132013,0.323432343,0.323432343,0.323432343,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.326732673,0.320132013,0.320132013,0.320132013,0.336633663,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013
Alternanthera_mosaic_virus_AY863024,0.316831683,0.339933993,0.313531353,0.323432343,0.323432343,0.326732673,0.323432343,0.207920792,0.171617162,0.174917492,0.099009901,0.02310231,0.03630363,0.01320132,0,0.01650165,0.379537954,0.379537954,0.379537954,0.363036304,0.359735974,0.353135314,0.363036304,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.356435644,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.343234323,0.349834983,0.349834983,0.349834983,0.349834983,0.346534653,0.346534653,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.326732673,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.320132013,0.333333333,0.323432343,0.333333333,0.316831683,0.320132013,0.320132013,0.320132013,0.320132013,0.333333333,0.330033003,0.330033003,0.326732673,0.326732673,0.330033003,0.330033003,0.330033003,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.330033003,0.326732673,0.326732673,0.326732673,0.336633663,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673
Alternanthera_mosaic_virus_GQ179647,0.316831683,0.343234323,0.320132013,0.326732673,0.330033003,0.320132013,0.323432343,0.204620462,0.174917492,0.174917492,0.099009901,0.02640264,0.0330033,0.00330033,0.01650165,0,0.372937294,0.372937294,0.372937294,0.363036304,0.349834983,0.343234323,0.353135314,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.346534653,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.343234323,0.349834983,0.349834983,0.349834983,0.349834983,0.346534653,0.346534653,0.349834983,0.349834983,0.349834983,0.349834983,0.349834983,0.320132013,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.326732673,0.323432343,0.323432343,0.323432343,0.326732673,0.326732673,0.326732673,0.326732673,0.330033003,0.326732673,0.326732673,0.323432343,0.323432343,0.326732673,0.326732673,0.326732673,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.330033003,0.323432343,0.323432343,0.323432343,0.339933993,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343,0.323432343
Opuntia_virus_Strain_CC10,0.339933993,0.349834983,0.369636964,0.353135314,0.372937294,0.369636964,0.372937294,0.386138614,0.356435644,0.310231023,0.379537954,0.369636964,0.369636964,0.376237624,0.379537954,0.372937294,0,0,0,0.141914191,0.145214521,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.158415842,0.151815182,0.151815182,0.151815182,0.151815182,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.171617162,0.161716172,0.161716172,0.161716172,0.161716172,0.161716172,0.165016502,0.165016502,0.158415842,0.158415842,0.165016502,0.161716172,0.161716172,0.161716172,0.161716172,0.171617162,0.181518152,0.174917492,0.171617162,0.171617162,0.174917492,0.174917492,0.178217822,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.184818482,0.174917492,0.174917492,0.174917492,0.224422442,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492
Opuntia_virus_X_KY348771,0.339933993,0.349834983,0.369636964,0.353135314,0.372937294,0.369636964,0.372937294,0.386138614,0.356435644,0.310231023,0.379537954,0.369636964,0.369636964,0.376237624,0.379537954,0.372937294,0,0,0,0.141914191,0.145214521,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.158415842,0.151815182,0.151815182,0.151815182,0.151815182,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.171617162,0.161716172,0.161716172,0.161716172,0.161716172,0.161716172,0.165016502,0.165016502,0.158415842,0.158415842,0.165016502,0.161716172,0.161716172,0.161716172,0.161716172,0.171617162,0.181518152,0.174917492,0.171617162,0.171617162,0.174917492,0.174917492,0.178217822,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.184818482,0.174917492,0.174917492,0.174917492,0.224422442,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492
Opuntia_virus_X_KU854931,0.339933993,0.349834983,0.369636964,0.353135314,0.372937294,0.369636964,0.372937294,0.386138614,0.356435644,0.310231023,0.379537954,0.369636964,0.369636964,0.376237624,0.379537954,0.372937294,0,0,0,0.141914191,0.145214521,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.158415842,0.151815182,0.151815182,0.151815182,0.151815182,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.171617162,0.161716172,0.161716172,0.161716172,0.161716172,0.161716172,0.165016502,0.165016502,0.158415842,0.158415842,0.165016502,0.161716172,0.161716172,0.161716172,0.161716172,0.171617162,0.181518152,0.174917492,0.171617162,0.171617162,0.174917492,0.174917492,0.178217822,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.184818482,0.174917492,0.174917492,0.174917492,0.224422442,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492,0.174917492
Schlumbergera_virus_X_KU854929,0.323432343,0.330033003,0.336633663,0.343234323,0.353135314,0.336633663,0.339933993,0.359735974,0.333333333,0.310231023,0.343234323,0.356435644,0.349834983,0.359735974,0.363036304,0.363036304,0.141914191,0.141914191,0.141914191,0,0.059405941,0.066006601,0.056105611,0.062706271,0.062706271,0.062706271,0.062706271,0.062706271,0.062706271,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.128712871,0.128712871,0.125412541,0.125412541,0.125412541,0.125412541,0.125412541,0.148514851,0.132013201,0.132013201,0.132013201,0.132013201,0.132013201,0.132013201,0.132013201,0.135313531,0.138613861,0.135313531,0.132013201,0.132013201,0.132013201,0.132013201,0.132013201,0.138613861,0.135313531,0.148514851,0.148514851,0.151815182,0.151815182,0.145214521,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.155115512,0.141914191,0.141914191,0.141914191,0.201320132,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191
SRR11190802_Plant_DH-1_NC_011659,0.320132013,0.353135314,0.343234323,0.349834983,0.346534653,0.349834983,0.349834983,0.366336634,0.323432343,0.326732673,0.363036304,0.359735974,0.353135314,0.353135314,0.359735974,0.349834983,0.145214521,0.145214521,0.145214521,0.059405941,0,0.01320132,0.01320132,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.155115512,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.151815182,0.145214521,0.145214521,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.141914191,0.151815182,0.145214521,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.158415842,0.145214521,0.145214521,0.145214521,0.207920792,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521
Schlumbergera_virus_X_KP090203,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.363036304,0.316831683,0.326732673,0.363036304,0.353135314,0.346534653,0.346534653,0.353135314,0.343234323,0.155115512,0.155115512,0.155115512,0.066006601,0.01320132,0,0.01320132,0.00330033,0.00330033,0.00330033,0.00330033,0.00330033,0.00330033,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.138613861,0.138613861,0.141914191,0.141914191,0.141914191,0.141914191,0.141914191,0.155115512,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.151815182,0.145214521,0.145214521,0.145214521,0.148514851,0.148514851,0.148514851,0.148514851,0.141914191,0.151815182,0.145214521,0.158415842,0.158415842,0.155115512,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.165016502,0.151815182,0.151815182,0.151815182,0.207920792,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182,0.151815182
Schlumbergera_virus_X_Strain_K11,0.316831683,0.346534653,0.343234323,0.353135314,0.349834983,0.349834983,0.349834983,0.363036304,0.323432343,0.320132013,0.359735974,0.363036304,0.356435644,0.356435644,0.363036304,0.353135314,0.155115512,0.155115512,0.155115512,0.056105611,0.01320132,0.01320132,0,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.00990099,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.138613861,0.138613861,0.135313531,0.135313531,0.135313531,0.135313531,0.135313531,0.151815182,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.135313531,0.135313531,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.151815182,0.145214521,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.158415842,0.145214521,0.145214521,0.145214521,0.198019802,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521
SRR11190798_Plant_DH-3_NC_011659,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.366336634,0.320132013,0.323432343,0.366336634,0.356435644,0.349834983,0.349834983,0.356435644,0.346534653,0.151815182,0.151815182,0.151815182,0.062706271,0.00990099,0.00330033,0.00990099,0,0,0,0,0,0,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.151815182,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.141914191,0.141914191,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.138613861,0.148514851,0.141914191,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.161716172,0.148514851,0.148514851,0.148514851,0.204620462,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851
SRR11190801_Plant_DH-2_NC_011659,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.366336634,0.320132013,0.323432343,0.366336634,0.356435644,0.349834983,0.349834983,0.356435644,0.346534653,0.151815182,0.151815182,0.151815182,0.062706271,0.00990099,0.00330033,0.00990099,0,0,0,0,0,0,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.151815182,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.141914191,0.141914191,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.138613861,0.148514851,0.141914191,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.161716172,0.148514851,0.148514851,0.148514851,0.204620462,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851
SRR11603189_RR-peel-3_NC_011659,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.366336634,0.320132013,0.323432343,0.366336634,0.356435644,0.349834983,0.349834983,0.356435644,0.346534653,0.151815182,0.151815182,0.151815182,0.062706271,0.00990099,0.00330033,0.00990099,0,0,0,0,0,0,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.151815182,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.141914191,0.141914191,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.138613861,0.148514851,0.141914191,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.161716172,0.148514851,0.148514851,0.148514851,0.204620462,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851
SRR11603187_RR-pulp-2_NC_011659,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.366336634,0.320132013,0.323432343,0.366336634,0.356435644,0.349834983,0.349834983,0.356435644,0.346534653,0.151815182,0.151815182,0.151815182,0.062706271,0.00990099,0.00330033,0.00990099,0,0,0,0,0,0,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.151815182,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.141914191,0.141914191,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.138613861,0.148514851,0.141914191,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.161716172,0.148514851,0.148514851,0.148514851,0.204620462,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851
SRR11603183_GW-peel-2_NC_011659,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.366336634,0.320132013,0.323432343,0.366336634,0.356435644,0.349834983,0.349834983,0.356435644,0.346534653,0.151815182,0.151815182,0.151815182,0.062706271,0.00990099,0.00330033,0.00990099,0,0,0,0,0,0,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.151815182,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.141914191,0.141914191,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.138613861,0.148514851,0.141914191,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.161716172,0.148514851,0.148514851,0.148514851,0.204620462,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851
SRR11603184_GW-peel-1_NC_011659,0.323432343,0.346534653,0.346534653,0.349834983,0.346534653,0.356435644,0.356435644,0.366336634,0.320132013,0.323432343,0.366336634,0.356435644,0.349834983,0.349834983,0.356435644,0.346534653,0.151815182,0.151815182,0.151815182,0.062706271,0.00990099,0.00330033,0.00990099,0,0,0,0,0,0,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.141914191,0.141914191,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.151815182,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.145214521,0.148514851,0.141914191,0.141914191,0.148514851,0.145214521,0.145214521,0.145214521,0.145214521,0.138613861,0.148514851,0.141914191,0.155115512,0.155115512,0.151815182,0.151815182,0.151815182,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.161716172,0.148514851,0.148514851,0.148514851,0.204620462,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851,0.148514851
MG210801,0.339933993,0.313531353,0.349834983,0.359735974,0.356435644,0.353135314,0.359735974,0.326732673,0.339933993,0.316831683,0.349834983,0.346534653,0.346534653,0.346534653,0.349834983,0.349834983,0.151815182,0.151815182,0.151815182,0.125412541,0.145214521,0.141914191,0.135313531,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0,0,0,0,0,0,0,0,0.00660066,0,0,0,0.00330033,0.00330033,0.00330033,0,0,0,0,0,0.128712871,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.128712871,0.125412541,0.125412541,0.128712871,0.125412541,0.122112211,0.122112211,0.122112211,0.122112211,0.105610561,0.118811881,0.108910891,0.122112211,0.122112211,0.125412541,0.125412541,0.125412541,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.138613861,0.122112211,0.122112211,0.122112211,0.168316832,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211
SRR11190800_Plant_BSJ-2_NC_024458,0.339933993,0.313531353,0.349834983,0.359735974,0.356435644,0.353135314,0.359735974,0.326732673,0.339933993,0.316831683,0.349834983,0.346534653,0.346534653,0.346534653,0.349834983,0.349834983,0.151815182,0.151815182,0.151815182,0.125412541,0.145214521,0.141914191,0.135313531,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0.138613861,0,0,0,0,0,0,0,0,0.00660066,0,0,0,0.00330033,0.00330033,0.00330033,0,0,0,0,0,0.128712871,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.128712871,0.125412541,0.125412541,0.128712871,0.125412541,0.122112211,0.122112211,0.122112211,0.122112211,0.105610561,0.118811881,0.108910891,0.122112211,0.122112211,0.125412541,0.125412541,0.125412541,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.138613861,0.122112211,0.122112211,0.122112211,0.168316832,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211,0.122112211
