,Clover_yellow_mosaic_virus,Hydrangea_ringspot_virus,Plantago_asiatica_mosaic_virus_KU697313,Nandina_mosaic_virus,Plantago_asiatica_mosaic_virus_LC155795,Plantago_asiatica_mosaic_virus_KT717325,Plantago_asiatica_mosaic_virus_KU159093,Senna_mosaic_virus,Babaco_mosaic_virus,Papaya_mosaic_virus,Alternanthera_mosaic_virus_LC107515,Alternanthera_mosaic_virus_MH423501,Alternanthera_mosaic_virus_FJ822136,Alternanthera_mosaic_virus_GQ179646,Alternanthera_mosaic_virus_AY863024,Alternanthera_mosaic_virus_GQ179647,Opuntia_virus_Strain_CC10,Opuntia_virus_X_KY348771,Opuntia_virus_X_KU854931,Schlumbergera_virus_X_KU854929,SRR11190802_Plant_DH-1_NC_011659,Schlumbergera_virus_X_KP090203,Schlumbergera_virus_X_Strain_K11,SRR11190798_Plant_DH-3_NC_011659,SRR11190801_Plant_DH-2_NC_011659,SRR11603189_RR-peel-3_NC_011659,SRR11603187_RR-pulp-2_NC_011659,SRR11603183_GW-peel-2_NC_011659,SRR11603184_GW-peel-1_NC_011659,MG210801,SRR11190800_Plant_BSJ-2_NC_024458,SRR11190791_Plant_BSJ-1_NC_024458,SRR11190799_Plant_BSJ-3_NC_024458,SRR11190802_Plant_DH-1_NC_024458,SRR11190801_Plant_DH-2_NC_024458,SRR11190798_Plant_DH-3_NC_024458,SRR11190795_Plant_FR-3_NC_024458,Pitaya_virus_X,SRR11603182_GW-peel-3_NC_024458,SRR11603184_GW-peel-1_NC_024458,SRR11603183_GW-peel-2_NC_024458,SRR11190793_Plant_BR-2_NC_024458,SRR11190796_Plant_FR-2_NC_024458,SRR11190797_Plant_FR-1_NC_024458,SRR11603191_RR-peel-1_NC_024458,SRR11603189_RR-peel-3_NC_024458,SRR11603187_RR-pulp-2_NC_024458,SRR11603186_RR-pulp-3_NC_024458,SRR11603190_RR-peel-2_NC_024458,KM288845,SRR11190798_Plant_DH-3_NC_006059,SRR11190801_Plant_DH-2_NC_006059,SRR11190802_Plant_DH-1_NC_006059,SRR11190796_Plant_FR-2_NC_006059,SRR11190797_Plant_FR-1_NC_006059,Zygocactus_virus_X_Strain_B1,KM288844,Zygocactus_virus_X_JF930326.1,KM288843,KM288842,SRR11603191_RR-peel-1_NC_006059,SRR11603189_RR-peel-3_NC_006059,SRR11603187_RR-pulp-2_NC_006059,SRR11603186_RR-pulp-3_NC_006059,SRR11603190_RR-peel-2_NC_006059,Cactus_virus_X_JF937699.1,Cactus_virus_X_KM288846.1,Cactus_virus_X_SCM51431,Cactus_virus_X_KM288847.1,Schlumbergera_truncata_15H03_cons,Schlumbergera_truncata_19JSF_sty_NC_002815,Schlumbergera_truncata_15H04_cons,Schlumbergera_truncata_15H06_cons,Cactus_virus_X_LC128411.1,SRR11603186_RR-pulp-3_NC_002815,SRR11603190_RR-peel-2_NC_002815,SRR11603191_RR-peel-1_NC_002815,SRR11603187_RR-pulp-2_NC_002815,SRR11603189_RR-peel-3_NC_002815,SRR11190793_Plant_BR-2_NC_002815,Cactus_virus_X_KM365479.1,SRR11190792_Plant_BR-3_NC_002815,SRR11603183_GW-peel-2_NC_002815,SRR11190795_Plant_FR-3_NC_002815,Cactus_virus_X_AF308158.2,SRR11190802_Plant_DH-1_NC_002815,SRR11190796_Plant_FR-2_NC_002815,SRR11190797_Plant_FR-1_NC_002815,SRR11603184_GW-peel-1_NC_002815,SRR11603182_GW-peel-3_NC_002815,SRR11190798_Plant_DH-3_NC_002815,SRR11190801_Plant_DH-2_NC_002815,SRR11190799_Plant_BSJ-3_NC_002815,SRR11190791_Plant_BSJ-1_NC_002815,SRR11190800_Plant_BSJ-2_NC_002815
Alternanthera_mosaic_virus_LC107515,0.399038462,0.403846154,0.4375,0.451923077,0.451923077,0.459134615,0.459134615,0.221153846,0.223557692,0.194711538,0,0.137019231,0.127403846,0.137019231,0.134615385,0.139423077,0.432692308,0.442307692,0.442307692,0.399038462,0.415865385,0.413461538,0.408653846,0.415865385,0.415865385,0.415865385,0.415865385,0.415865385,0.415865385,0.372596154,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.377403846,0.375,0.375,0.375,0.382211538,0.375,0.375,0.377403846,0.377403846,0.377403846,0.377403846,0.377403846,0.387019231,0.382211538,0.382211538,0.382211538,0.375,0.375,0.370192308,0.367788462,0.377403846,0.370192308,0.370192308,0.370192308,0.370192308,0.370192308,0.370192308,0.370192308,0.401442308,0.40625,0.401442308,0.396634615,0.401442308,0.399038462,0.396634615,0.396634615,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.399038462,0.401442308,0.401442308,0.401442308,0.415865385,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308
Alternanthera_mosaic_virus_MH423501,0.408653846,0.403846154,0.447115385,0.442307692,0.447115385,0.456730769,0.456730769,0.237980769,0.247596154,0.209134615,0.137019231,0,0.036057692,0.043269231,0.03125,0.043269231,0.430288462,0.432692308,0.432692308,0.396634615,0.396634615,0.394230769,0.394230769,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.408653846,0.40625,0.40625,0.40625,0.411057692,0.403846154,0.403846154,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.425480769,0.420673077,0.420673077,0.420673077,0.420673077,0.420673077,0.411057692,0.418269231,0.423076923,0.418269231,0.420673077,0.418269231,0.418269231,0.418269231,0.418269231,0.418269231,0.387019231,0.394230769,0.391826923,0.387019231,0.413461538,0.408653846,0.408653846,0.408653846,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.403846154,0.40625,0.40625,0.40625,0.420673077,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625
Alternanthera_mosaic_virus_FJ822136,0.403846154,0.403846154,0.444711538,0.442307692,0.451923077,0.456730769,0.456730769,0.242788462,0.254807692,0.206730769,0.127403846,0.036057692,0,0.036057692,0.028846154,0.036057692,0.432692308,0.435096154,0.435096154,0.382211538,0.379807692,0.377403846,0.377403846,0.379807692,0.379807692,0.379807692,0.379807692,0.379807692,0.379807692,0.384615385,0.394230769,0.394230769,0.394230769,0.394230769,0.394230769,0.394230769,0.394230769,0.396634615,0.394230769,0.394230769,0.394230769,0.399038462,0.389423077,0.389423077,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.425480769,0.418269231,0.418269231,0.418269231,0.418269231,0.418269231,0.408653846,0.411057692,0.420673077,0.415865385,0.418269231,0.413461538,0.413461538,0.413461538,0.413461538,0.413461538,0.389423077,0.396634615,0.389423077,0.384615385,0.403846154,0.399038462,0.399038462,0.399038462,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.394230769,0.396634615,0.396634615,0.396634615,0.413461538,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615
Alternanthera_mosaic_virus_GQ179646,0.403846154,0.396634615,0.447115385,0.442307692,0.447115385,0.459134615,0.459134615,0.237980769,0.252403846,0.211538462,0.137019231,0.043269231,0.036057692,0,0.021634615,0.009615385,0.432692308,0.425480769,0.425480769,0.379807692,0.379807692,0.377403846,0.377403846,0.379807692,0.379807692,0.379807692,0.379807692,0.379807692,0.379807692,0.379807692,0.389423077,0.389423077,0.389423077,0.389423077,0.389423077,0.389423077,0.389423077,0.391826923,0.389423077,0.389423077,0.389423077,0.394230769,0.384615385,0.384615385,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.420673077,0.411057692,0.411057692,0.411057692,0.411057692,0.411057692,0.401442308,0.413461538,0.413461538,0.408653846,0.411057692,0.401442308,0.401442308,0.401442308,0.401442308,0.401442308,0.384615385,0.391826923,0.389423077,0.384615385,0.394230769,0.394230769,0.394230769,0.394230769,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.389423077,0.391826923,0.391826923,0.391826923,0.408653846,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923
Alternanthera_mosaic_virus_AY863024,0.408653846,0.396634615,0.442307692,0.444711538,0.447115385,0.456730769,0.456730769,0.235576923,0.252403846,0.209134615,0.134615385,0.03125,0.028846154,0.021634615,0,0.021634615,0.435096154,0.427884615,0.427884615,0.382211538,0.377403846,0.379807692,0.379807692,0.382211538,0.382211538,0.382211538,0.382211538,0.382211538,0.382211538,0.379807692,0.389423077,0.389423077,0.389423077,0.389423077,0.389423077,0.389423077,0.389423077,0.391826923,0.389423077,0.389423077,0.389423077,0.394230769,0.384615385,0.384615385,0.387019231,0.387019231,0.387019231,0.387019231,0.387019231,0.420673077,0.40625,0.40625,0.411057692,0.411057692,0.411057692,0.401442308,0.408653846,0.413461538,0.408653846,0.411057692,0.40625,0.40625,0.40625,0.40625,0.40625,0.382211538,0.389423077,0.387019231,0.382211538,0.394230769,0.394230769,0.394230769,0.394230769,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.389423077,0.391826923,0.391826923,0.391826923,0.408653846,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923
Alternanthera_mosaic_virus_GQ179647,0.403846154,0.394230769,0.447115385,0.4375,0.449519231,0.454326923,0.454326923,0.240384615,0.252403846,0.211538462,0.139423077,0.043269231,0.036057692,0.009615385,0.021634615,0,0.432692308,0.425480769,0.425480769,0.379807692,0.377403846,0.375,0.375,0.377403846,0.377403846,0.377403846,0.377403846,0.377403846,0.377403846,0.384615385,0.394230769,0.394230769,0.394230769,0.394230769,0.394230769,0.394230769,0.394230769,0.396634615,0.394230769,0.394230769,0.394230769,0.399038462,0.389423077,0.389423077,0.396634615,0.396634615,0.396634615,0.396634615,0.396634615,0.420673077,0.408653846,0.408653846,0.408653846,0.408653846,0.408653846,0.399038462,0.411057692,0.411057692,0.40625,0.408653846,0.403846154,0.403846154,0.403846154,0.403846154,0.403846154,0.382211538,0.389423077,0.387019231,0.382211538,0.394230769,0.394230769,0.394230769,0.394230769,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.389423077,0.391826923,0.391826923,0.391826923,0.408653846,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923,0.391826923
Opuntia_virus_Strain_CC10,0.425480769,0.403846154,0.471153846,0.449519231,0.466346154,0.466346154,0.466346154,0.423076923,0.432692308,0.427884615,0.432692308,0.430288462,0.432692308,0.432692308,0.435096154,0.432692308,0,0.024038462,0.024038462,0.274038462,0.274038462,0.278846154,0.276442308,0.276442308,0.276442308,0.276442308,0.276442308,0.276442308,0.276442308,0.276442308,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.278846154,0.28125,0.28125,0.28125,0.283653846,0.283653846,0.283653846,0.283653846,0.283653846,0.278846154,0.295673077,0.295673077,0.295673077,0.288461538,0.288461538,0.283653846,0.286057692,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.305288462,0.305288462,0.3125,0.310096154,0.314903846,0.314903846,0.314903846,0.314903846,0.322115385,0.319711538,0.319711538,0.319711538,0.319711538,0.319711538,0.317307692,0.314903846,0.317307692,0.317307692,0.317307692,0.324519231,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692
Opuntia_virus_X_KY348771,0.418269231,0.387019231,0.46875,0.454326923,0.463942308,0.46875,0.46875,0.425480769,0.430288462,0.430288462,0.442307692,0.432692308,0.435096154,0.425480769,0.427884615,0.425480769,0.024038462,0,0,0.286057692,0.288461538,0.293269231,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.278846154,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.283653846,0.283653846,0.283653846,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.290865385,0.290865385,0.290865385,0.290865385,0.283653846,0.283653846,0.278846154,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.305288462,0.305288462,0.307692308,0.310096154,0.3125,0.3125,0.307692308,0.307692308,0.319711538,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.314903846,0.3125,0.314903846,0.314903846,0.314903846,0.326923077,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846
Opuntia_virus_X_KU854931,0.418269231,0.387019231,0.46875,0.454326923,0.463942308,0.46875,0.46875,0.425480769,0.430288462,0.430288462,0.442307692,0.432692308,0.435096154,0.425480769,0.427884615,0.425480769,0.024038462,0,0,0.286057692,0.288461538,0.293269231,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.290865385,0.278846154,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,0.283653846,0.283653846,0.283653846,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.290865385,0.290865385,0.290865385,0.290865385,0.283653846,0.283653846,0.278846154,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.286057692,0.305288462,0.305288462,0.307692308,0.310096154,0.3125,0.3125,0.307692308,0.307692308,0.319711538,0.317307692,0.317307692,0.317307692,0.317307692,0.317307692,0.314903846,0.3125,0.314903846,0.314903846,0.314903846,0.326923077,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846,0.314903846
Schlumbergera_virus_X_KU854929,0.439903846,0.408653846,0.449519231,0.459134615,0.449519231,0.463942308,0.463942308,0.411057692,0.430288462,0.432692308,0.399038462,0.396634615,0.382211538,0.379807692,0.382211538,0.379807692,0.274038462,0.286057692,0.286057692,0,0.048076923,0.045673077,0.052884615,0.048076923,0.048076923,0.048076923,0.048076923,0.048076923,0.048076923,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.177884615,0.175480769,0.175480769,0.175480769,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.197115385,0.206730769,0.206730769,0.206730769,0.201923077,0.201923077,0.201923077,0.201923077,0.204326923,0.197115385,0.199519231,0.201923077,0.201923077,0.201923077,0.201923077,0.201923077,0.175480769,0.182692308,0.177884615,0.175480769,0.173076923,0.173076923,0.177884615,0.177884615,0.175480769,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.175480769,0.177884615,0.175480769,0.175480769,0.175480769,0.192307692,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769
SRR11190802_Plant_DH-1_NC_011659,0.432692308,0.403846154,0.466346154,0.461538462,0.454326923,0.46875,0.46875,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.377403846,0.377403846,0.274038462,0.288461538,0.288461538,0.048076923,0,0.014423077,0.021634615,0.012019231,0.012019231,0.012019231,0.012019231,0.012019231,0.012019231,0.177884615,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.180288462,0.170673077,0.170673077,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.211538462,0.206730769,0.206730769,0.211538462,0.211538462,0.211538462,0.213942308,0.211538462,0.213942308,0.211538462,0.213942308,0.206730769,0.206730769,0.206730769,0.206730769,0.206730769,0.194711538,0.201923077,0.197115385,0.192307692,0.175480769,0.175480769,0.180288462,0.180288462,0.182692308,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.177884615,0.180288462,0.177884615,0.177884615,0.177884615,0.192307692,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615
Schlumbergera_virus_X_KP090203,0.439903846,0.411057692,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.423076923,0.430288462,0.430288462,0.413461538,0.394230769,0.377403846,0.377403846,0.379807692,0.375,0.278846154,0.293269231,0.293269231,0.045673077,0.014423077,0,0.007211538,0.002403846,0.002403846,0.002403846,0.002403846,0.002403846,0.002403846,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.173076923,0.177884615,0.168269231,0.168269231,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.189903846,0.197115385,0.192307692,0.1875,0.177884615,0.177884615,0.182692308,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.180288462,0.182692308,0.180288462,0.180288462,0.180288462,0.197115385,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462
Schlumbergera_virus_X_Strain_K11,0.442307692,0.413461538,0.459134615,0.461538462,0.449519231,0.46875,0.46875,0.418269231,0.425480769,0.430288462,0.408653846,0.394230769,0.377403846,0.377403846,0.379807692,0.375,0.276442308,0.290865385,0.290865385,0.052884615,0.021634615,0.007211538,0,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.180288462,0.170673077,0.170673077,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.204326923,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.211538462,0.209134615,0.211538462,0.209134615,0.211538462,0.204326923,0.204326923,0.204326923,0.204326923,0.204326923,0.1875,0.194711538,0.189903846,0.185096154,0.175480769,0.175480769,0.180288462,0.180288462,0.182692308,0.180288462,0.180288462,0.180288462,0.180288462,0.180288462,0.177884615,0.180288462,0.177884615,0.177884615,0.177884615,0.194711538,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615,0.177884615
SRR11190798_Plant_DH-3_NC_011659,0.4375,0.408653846,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.382211538,0.377403846,0.276442308,0.290865385,0.290865385,0.048076923,0.012019231,0.002403846,0.009615385,0,0,0,0,0,0,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.175480769,0.165865385,0.165865385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.192307692,0.199519231,0.194711538,0.189903846,0.180288462,0.180288462,0.185096154,0.185096154,0.1875,0.185096154,0.185096154,0.185096154,0.185096154,0.185096154,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.197115385,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308
SRR11190801_Plant_DH-2_NC_011659,0.4375,0.408653846,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.382211538,0.377403846,0.276442308,0.290865385,0.290865385,0.048076923,0.012019231,0.002403846,0.009615385,0,0,0,0,0,0,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.175480769,0.165865385,0.165865385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.192307692,0.199519231,0.194711538,0.189903846,0.180288462,0.180288462,0.185096154,0.185096154,0.1875,0.185096154,0.185096154,0.185096154,0.185096154,0.185096154,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.197115385,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308
SRR11603189_RR-peel-3_NC_011659,0.4375,0.408653846,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.382211538,0.377403846,0.276442308,0.290865385,0.290865385,0.048076923,0.012019231,0.002403846,0.009615385,0,0,0,0,0,0,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.175480769,0.165865385,0.165865385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.192307692,0.199519231,0.194711538,0.189903846,0.180288462,0.180288462,0.185096154,0.185096154,0.1875,0.185096154,0.185096154,0.185096154,0.185096154,0.185096154,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.197115385,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308
SRR11603187_RR-pulp-2_NC_011659,0.4375,0.408653846,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.382211538,0.377403846,0.276442308,0.290865385,0.290865385,0.048076923,0.012019231,0.002403846,0.009615385,0,0,0,0,0,0,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.175480769,0.165865385,0.165865385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.192307692,0.199519231,0.194711538,0.189903846,0.180288462,0.180288462,0.185096154,0.185096154,0.1875,0.185096154,0.185096154,0.185096154,0.185096154,0.185096154,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.197115385,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308
SRR11603183_GW-peel-2_NC_011659,0.4375,0.408653846,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.382211538,0.377403846,0.276442308,0.290865385,0.290865385,0.048076923,0.012019231,0.002403846,0.009615385,0,0,0,0,0,0,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.175480769,0.165865385,0.165865385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.192307692,0.199519231,0.194711538,0.189903846,0.180288462,0.180288462,0.185096154,0.185096154,0.1875,0.185096154,0.185096154,0.185096154,0.185096154,0.185096154,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.197115385,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308
SRR11603184_GW-peel-1_NC_011659,0.4375,0.408653846,0.463942308,0.463942308,0.451923077,0.471153846,0.471153846,0.425480769,0.432692308,0.432692308,0.415865385,0.396634615,0.379807692,0.379807692,0.382211538,0.377403846,0.276442308,0.290865385,0.290865385,0.048076923,0.012019231,0.002403846,0.009615385,0,0,0,0,0,0,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.175480769,0.165865385,0.165865385,0.175480769,0.175480769,0.175480769,0.175480769,0.175480769,0.209134615,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.216346154,0.213942308,0.216346154,0.213942308,0.216346154,0.209134615,0.209134615,0.209134615,0.209134615,0.209134615,0.192307692,0.199519231,0.194711538,0.189903846,0.180288462,0.180288462,0.185096154,0.185096154,0.1875,0.185096154,0.185096154,0.185096154,0.185096154,0.185096154,0.182692308,0.185096154,0.182692308,0.182692308,0.182692308,0.197115385,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308,0.182692308
MG210801,0.430288462,0.408653846,0.456730769,0.473557692,0.456730769,0.46875,0.46875,0.40625,0.418269231,0.391826923,0.372596154,0.396634615,0.384615385,0.379807692,0.379807692,0.384615385,0.276442308,0.278846154,0.278846154,0.175480769,0.177884615,0.173076923,0.175480769,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.012019231,0.009615385,0.009615385,0.009615385,0.016826923,0.014423077,0.014423077,0.014423077,0.014423077,0.014423077,0.014423077,0.014423077,0.192307692,0.194711538,0.194711538,0.197115385,0.189903846,0.189903846,0.189903846,0.185096154,0.192307692,0.189903846,0.192307692,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.189903846,0.213942308,0.213942308,0.211538462,0.211538462,0.216346154,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.211538462,0.209134615,0.211538462,0.211538462,0.211538462,0.228365385,0.211538462,0.211538462,0.211538462,0.211538462,0.211538462,0.211538462,0.211538462,0.211538462,0.211538462,0.211538462
SRR11190800_Plant_BSJ-2_NC_024458,0.430288462,0.411057692,0.459134615,0.478365385,0.461538462,0.463942308,0.463942308,0.408653846,0.423076923,0.399038462,0.375,0.40625,0.394230769,0.389423077,0.389423077,0.394230769,0.278846154,0.28125,0.28125,0.175480769,0.175480769,0.173076923,0.175480769,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.170673077,0.009615385,0,0,0,0,0,0,0,0.002403846,0,0,0,0.007211538,0.004807692,0.004807692,0.004807692,0.004807692,0.004807692,0.004807692,0.004807692,0.194711538,0.197115385,0.197115385,0.199519231,0.192307692,0.192307692,0.192307692,0.1875,0.194711538,0.192307692,0.194711538,0.189903846,0.189903846,0.189903846,0.189903846,0.189903846,0.189903846,0.189903846,0.189903846,0.192307692,0.216346154,0.216346154,0.213942308,0.213942308,0.21875,0.216346154,0.216346154,0.216346154,0.216346154,0.216346154,0.213942308,0.211538462,0.213942308,0.213942308,0.213942308,0.230769231,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308,0.213942308
