"","MG210801_-_RdRp_CDS","AY800279_-_viral_replicase_CDS","KT717325_-_RdRP_CDS","KU159093_-_RNA-dependent_RNA_polymerase_CDS","KU697313_-_RNA-dependent_RNA_polymerase_CDS","LC107517_-_RdRp_CDS","LC155795_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_19JSF_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190796__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190801__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190792__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603182__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603186__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603189__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_a_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H06_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190802__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190791__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190793__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190799__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11190800__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190797__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190795__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_polyrhizus_SRR11190798__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H04_pet__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Schlumbergera_truncata_15H03_sty__NC_002815_b_-_RNA-dependent_RNA_polymerase_CDS","KX196173_-_RdRp_CDS","MF978248_-_RdRp_CDS","Schlumbergera_truncata_15H05_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AY863024_-_ORF1_CDS","FJ822136_-_RdRp_CDS","GQ179646_-_replicase_CDS","GQ179647_-_replicase_CDS","LC107515_-_RdRp_CDS","MH423501_-_replicase_CDS","Schlumbergera_truncata_15H06_sty__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603190__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603191__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","JF937699_-_RNA-dependent_RNA_polymerase_CDS","KX883791_-_ORF1_CDS","LC128411_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603183__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","Hylocereus_undatus_SRR11603184__NC_002815_-_RNA-dependent_RNA_polymerase_CDS","AF308158_-_RNA-dependent_RNA_polymerase_CDS","AY366208_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190796__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_006059_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603189__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_006059_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_006059_-_RdRp_CDS","JF930326_-_RdRp_CDS","AY366207_-_replication-associated_protein_CDS","Hylocereus_polyrhizus_SRR11190798__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190801__NC_011659_-_ORF1_CDS","Hylocereus_polyrhizus_SRR11190802__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603183__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603184__NC_011659_-_ORF1_CDS","Hylocereus_undatus_SRR11603187__NC_011659_-_replication-associated_protein_CDS","Hylocereus_undatus_SRR11603189__NC_011659_-_replication-associated_protein_CDS","KP090203_-_ORF1_CDS","KU854929_-_RdRp_CDS","JX524226_-_CDS","AY366209_-_replication-associated_protein_CDS","KU854931_-_RdRp_CDS","KY348771_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190795__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190796__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190797__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190798__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190801__NC_024458_-_RdRp_CDS","Hylocereus_polyrhizus_SRR11190802__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190791__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190792__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190793__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11190799__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11190800__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603182__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603183__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603184__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603186__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603187__NC_024458_-_similar_to_RdRp","Hylocereus_undatus_SRR11603189__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603190__NC_024458_-_RdRp_CDS","Hylocereus_undatus_SRR11603191__NC_024458_-_RdRp_CDS","JF930327_-_similar_to_RdRp","CYMRNA_-_replicase_CDS"
"Hylocereus_undatus_SRR11603182__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,8,10,4,9,8,0,8,0,4,4,0,0,2,2,2,2,2,3,5,6,6,14,9,319,305,15,325,325,325,325,345,325,21,28,28,72,72,24,26,26,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Hylocereus_undatus_SRR11603186__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,6,6,8,5,8,4,8,4,0,0,4,4,2,2,2,2,2,3,5,6,6,14,9,319,305,15,325,325,325,325,345,325,21,26,26,72,72,24,26,26,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Hylocereus_undatus_SRR11603189__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,6,6,8,5,8,4,8,4,0,0,4,4,2,2,2,2,2,3,5,6,6,14,9,319,305,15,325,325,325,325,345,325,21,26,26,72,72,24,26,26,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Schlumbergera_truncata_15H03_sty__NC_002815_a_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,8,10,4,9,8,0,8,0,4,4,0,0,2,2,2,2,2,3,5,6,6,14,9,319,305,15,325,325,325,325,345,325,21,28,28,72,72,24,26,26,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Schlumbergera_truncata_15H06_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1021,714,678,678,667,615,667,8,10,4,9,8,0,8,0,4,4,0,0,2,2,2,2,2,3,5,6,6,14,9,319,305,15,325,325,325,325,345,325,21,28,28,72,72,24,26,26,29,89,89,89,89,89,89,89,89,89,89,89,89,113,113,113,113,113,113,113,113,113,113,347,115,115,115,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,472
"Hylocereus_polyrhizus_SRR11190802__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1019,712,676,676,665,613,665,8,8,6,7,6,2,6,2,2,2,2,2,0,0,0,0,0,1,3,4,4,12,7,317,303,13,323,323,323,323,343,323,19,28,28,70,70,22,24,24,27,87,87,87,87,87,87,87,87,87,87,87,87,111,111,111,111,111,111,111,111,111,111,345,113,113,113,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,470
"Hylocereus_undatus_SRR11190791__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1019,712,676,676,665,613,665,8,8,6,7,6,2,6,2,2,2,2,2,0,0,0,0,0,1,3,4,4,12,7,317,303,13,323,323,323,323,343,323,19,28,28,70,70,22,24,24,27,87,87,87,87,87,87,87,87,87,87,87,87,111,111,111,111,111,111,111,111,111,111,345,113,113,113,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,470
"Hylocereus_undatus_SRR11190793__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1019,712,676,676,665,613,665,8,8,6,7,6,2,6,2,2,2,2,2,0,0,0,0,0,1,3,4,4,12,7,317,303,13,323,323,323,323,343,323,19,28,28,70,70,22,24,24,27,87,87,87,87,87,87,87,87,87,87,87,87,111,111,111,111,111,111,111,111,111,111,345,113,113,113,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,470
"Hylocereus_undatus_SRR11190799__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1019,712,676,676,665,613,665,8,8,6,7,6,2,6,2,2,2,2,2,0,0,0,0,0,1,3,4,4,12,7,317,303,13,323,323,323,323,343,323,19,28,28,70,70,22,24,24,27,87,87,87,87,87,87,87,87,87,87,87,87,111,111,111,111,111,111,111,111,111,111,345,113,113,113,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,470
"Hylocereus_undatus_SRR11190800__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1019,712,676,676,665,613,665,8,8,6,7,6,2,6,2,2,2,2,2,0,0,0,0,0,1,3,4,4,12,7,317,303,13,323,323,323,323,343,323,19,28,28,70,70,22,24,24,27,87,87,87,87,87,87,87,87,87,87,87,87,111,111,111,111,111,111,111,111,111,111,345,113,113,113,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,470
"Hylocereus_polyrhizus_SRR11190797__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1018,711,675,675,664,612,664,9,7,7,6,5,3,5,3,3,3,3,3,1,1,1,1,1,0,2,3,3,11,6,316,302,12,322,322,322,322,342,322,18,29,29,69,69,21,25,25,26,86,86,86,86,86,86,86,86,86,86,86,86,110,110,110,110,110,110,110,110,110,110,344,112,112,112,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,469
"Schlumbergera_truncata_15H03_pol__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1016,709,673,673,662,610,662,11,9,9,8,5,5,5,5,5,5,5,5,3,3,3,3,3,2,0,1,1,9,4,314,300,10,320,320,320,320,340,320,16,31,31,67,67,19,27,27,24,84,84,84,84,84,84,84,84,84,84,84,84,108,108,108,108,108,108,108,108,108,108,342,110,110,110,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,467
"Hylocereus_polyrhizus_SRR11190795__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1015,708,672,672,661,609,661,12,10,10,9,6,6,6,6,6,6,6,6,4,4,4,4,4,3,1,0,0,8,3,313,299,9,319,319,319,319,339,319,15,32,32,66,66,18,28,28,23,83,83,83,83,83,83,83,83,83,83,83,83,107,107,107,107,107,107,107,107,107,107,341,109,109,109,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,466
"Hylocereus_polyrhizus_SRR11190798__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1015,708,672,672,661,609,661,12,10,10,9,6,6,6,6,6,6,6,6,4,4,4,4,4,3,1,0,0,8,3,313,299,9,319,319,319,319,339,319,15,32,32,66,66,18,28,28,23,83,83,83,83,83,83,83,83,83,83,83,83,107,107,107,107,107,107,107,107,107,107,341,109,109,109,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,466
"Schlumbergera_truncata_15H04_pet__NC_002815_-_RNA-dependent_RNA_polymerase_CDS",1017,710,674,674,663,611,663,12,18,18,17,6,14,6,14,14,14,14,14,12,12,12,12,12,11,9,8,8,0,5,315,301,9,321,321,321,321,341,321,15,40,40,68,68,20,36,36,23,85,85,85,85,85,85,85,85,85,85,85,85,109,109,109,109,109,109,109,109,109,109,343,111,111,111,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,468
"Schlumbergera_truncata_15H03_sty__NC_002815_b_-_RNA-dependent_RNA_polymerase_CDS",1012,705,669,669,658,606,658,15,13,13,12,9,9,9,9,9,9,9,9,7,7,7,7,7,6,4,3,3,5,0,310,296,6,316,316,316,316,336,316,12,35,35,63,63,15,31,31,20,80,80,80,80,80,80,80,80,80,80,80,80,104,104,104,104,104,104,104,104,104,104,338,106,106,106,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,463
"KX196173_-_RdRp_CDS",1210,821,785,785,774,676,774,325,323,323,322,319,319,319,319,319,319,319,319,317,317,317,317,317,316,314,313,313,315,310,0,148,308,94,94,94,94,118,94,302,345,345,301,301,295,341,341,300,308,308,308,308,308,308,308,308,308,308,308,308,336,336,336,336,336,336,336,336,336,336,88,354,354,354,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,555
