,Name,Name_updated,host,formal_tax,ftax_number,bPTP,mPTP,new,controversial
54,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_011659_consensus_sequence,SRR11190796C,Selenicereus polyrhizus,,,2,2,yes,NA
55,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_024458_consensus_sequence,SRR11190796D,Selenicereus polyrhizus,,,3,3,yes,TRUE
56,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_002815_consensus_sequence,SRR11190797A,Selenicereus polyrhizus,,,7,7,yes,TRUE
57,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_006059_consensus_sequence,SRR11190797B,Selenicereus polyrhizus,,,4,4,yes,TRUE
58,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_011659_consensus_sequence,SRR11190797C,Selenicereus polyrhizus,,,2,2,yes,NA
59,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_024458_consensus_sequence,SRR11190797D,Selenicereus polyrhizus,,,3,3,yes,NA
60,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_002815_consensus_sequence,SRR11190798A,Selenicereus polyrhizus,,,7,7,yes,TRUE
61,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_006059_consensus_sequence,SRR11190798B,Selenicereus polyrhizus,,,4,4,yes,TRUE
62,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_011659_consensus_sequence,SRR11190798C,Selenicereus polyrhizus,,,2,2,yes,NA
63,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_024458_consensus_sequence,SRR11190798D,Selenicereus polyrhizus,,,3,3,yes,NA
64,Hylocereus_undatus_176265_SRR11190799_potexvirus_-_NC_002815_consensus_sequence,SRR11190799A,Selenicereus undatus,,,7,7,yes,TRUE
65,Hylocereus_undatus_176265_SRR11190799_potexvirus_-_NC_024458_consensus_sequence,SRR11190799B,Selenicereus undatus,,,3,3,yes,NA
66,Hylocereus_undatus_176265_SRR11190800_potexvirus_-_NC_002815_consensus_sequence,SRR11190800A,Selenicereus undatus,,,7,7,yes,TRUE
67,Hylocereus_undatus_176265_SRR11190800_potexvirus_-_NC_024458_consensus_sequence,SRR11190800B,Selenicereus undatus,,,3,3,yes,TRUE
68,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_002815_consensus_sequence,SRR11190801A,Selenicereus polyrhizus,,,7,7,yes,TRUE
69,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_006059_consensus_sequence,SRR11190801B,Selenicereus polyrhizus,,,4,4,yes,TRUE
70,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_011659_consensus_sequence,SRR11190801C,Selenicereus polyrhizus,,,2,2,yes,NA
71,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_024458_consensus_sequence,SRR11190801D,Selenicereus polyrhizus,,,3,3,yes,TRUE
72,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_002815_consensus_sequence,SRR11190802A,Selenicereus polyrhizus,,,7,7,yes,TRUE
73,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_006059_consensus_sequence,SRR11190802B,Selenicereus polyrhizus,,,4,4,yes,TRUE
74,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_011659_consensus_sequence,SRR11190802C,Selenicereus polyrhizus,,,2,2,yes,NA
75,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_024458_consensus_sequence,SRR11190802D,Selenicereus polyrhizus,,,3,3,yes,NA
76,Hylocereus_undatus_176265_SRR11603182_potexvirus_-_NC_002815_consensus_sequence,SRR11603182A,Selenicereus undatus,,,7,7,yes,TRUE
77,Hylocereus_undatus_176265_SRR11603182_potexvirus_-_NC_024458_consensus_sequence,SRR11603182B,Selenicereus undatus,,,3,3,yes,NA
78,Hylocereus_undatus_176265_SRR11603183_potexvirus_-_NC_002815_consensus_sequence,SRR11603183A,Selenicereus undatus,,,7,7,yes,TRUE
79,Hylocereus_undatus_176265_SRR11603183_potexvirus_-_NC_011659_consensus_sequence,SRR11603183B,Selenicereus undatus,,,2,2,yes,NA
80,Hylocereus_undatus_176265_SRR11603183_potexvirus_-_NC_024458_consensus_sequence,SRR11603183C,Selenicereus undatus,,,3,3,yes,NA
81,Hylocereus_undatus_176265_SRR11603184_potexvirus_-_NC_002815_consensus_sequence,SRR11603184A,Selenicereus undatus,,,7,7,yes,TRUE
82,Hylocereus_undatus_176265_SRR11603184_potexvirus_-_NC_011659_consensus_sequence,SRR11603184B,Selenicereus undatus,,,2,2,yes,NA
83,Hylocereus_undatus_176265_SRR11603184_potexvirus_-_NC_024458_consensus_sequence,SRR11603184C,Selenicereus undatus,,,3,3,yes,NA
84,Hylocereus_undatus_176265_SRR11603186_potexvirus_-_NC_002815_consensus_sequence,SRR11603186A,Selenicereus undatus,,,7,7,yes,TRUE
85,Hylocereus_undatus_176265_SRR11603186_potexvirus_-_NC_006059_consensus_sequence,SRR11603186B,Selenicereus undatus,,,4,4,yes,TRUE
86,Hylocereus_undatus_176265_SRR11603186_potexvirus_-_NC_024458_consensus_sequence,SRR11603186C,Selenicereus undatus,,,3,3,yes,TRUE
87,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_002815_consensus_sequence,SRR11603187A,Selenicereus undatus,,,7,7,yes,TRUE
88,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_006059_consensus_sequence,SRR11603187B,Selenicereus undatus,,,4,4,yes,TRUE
89,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_011659_consensus_sequence,SRR11603187C,Selenicereus undatus,,,2,2,yes,NA
90,Hylocereus_undatus_176265_SRR11603187_potexvirus_-_NC_024458_consensus_sequence,SRR11603187D,Selenicereus undatus,,,3,3,yes,TRUE
91,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_002815_consensus_sequence,SRR11603189A,Selenicereus undatus,,,7,7,yes,TRUE
92,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_006059_consensus_sequence,SRR11603189B,Selenicereus undatus,,,4,4,yes,TRUE
93,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_011659_consensus_sequence,SRR11603189C,Selenicereus undatus,,,2,2,yes,NA
94,Hylocereus_undatus_176265_SRR11603189_potexvirus_-_NC_024458_consensus_sequence,SRR11603189D,Selenicereus undatus,,,3,3,yes,TRUE
95,Hylocereus_undatus_176265_SRR11603190_potexvirus_-_NC_002815_consensus_sequence,SRR11603190A,Selenicereus undatus,,,7,7,yes,TRUE
96,Hylocereus_undatus_176265_SRR11603190_potexvirus_-_NC_006059_consensus_sequence,SRR11603190B,Selenicereus undatus,,,4,4,yes,TRUE
97,Hylocereus_undatus_176265_SRR11603190_potexvirus_-_NC_024458_consensus_sequence,SRR11603190C,Selenicereus undatus,,,3,3,yes,NA
98,Hylocereus_undatus_176265_SRR11603191_potexvirus_-_NC_002815_consensus_sequence,SRR11603191A,Selenicereus undatus,,,7,7,yes,TRUE
99,Hylocereus_undatus_176265_SRR11603191_potexvirus_-_NC_006059_consensus_sequence,SRR11603191B,Selenicereus undatus,,,4,4,yes,TRUE
100,Hylocereus_undatus_176265_SRR11603191_potexvirus_-_NC_024458_consensus_sequence,SRR11603191C,Selenicereus undatus,,,3,3,yes,NA
101,JF930326,JF930326,Selenicereus sp.,Zygocactus virus X,4,4,4,no,TRUE
102,KM288843.1,KM288843,Selenicereus polyrhizus,Zygocactus virus X,4,4,4,no,NA
103,KM288845.1_1',KM288845,Selenicereus polyrhizus,Zygocactus virus X,4,5,5,no,NA
104,AY366208,AY366208,Schlumbergera sp.,Zygocactus virus X,4,4,4,no,TRUE
105,,15H03_cons,Schlumbergera truncata,,,7,7,yes,TRUE
106,,19JSF_sty,Schlumbergera truncata,,,7,7,yes,TRUE
107,,15H04_cons,Schlumbergera truncata,,,7,7,yes,TRUE
108,,15H06_cons,Schlumbergera truncata,,,7,7,yes,TRUE
109,,KM288842,Selenicereus sp.,Zygocactus virus X,4,4,4,no,NA
110,,KM288844,Selenicereus sp.,Zygocactus virus X,4,4,4,no,NA
