,X,Name,X..Nucleotide.Sequences.With.Mates,X..Of.Ref.Seq,X..Pairwise.Identity,Accession,Common.Name,Description,Mean.Coverage,Organism,Ref.Seq.Name,Sequence.Length,Sequence.List.Name,Size,Taxonomy,collection_date,country,db_xref,host,isolate,isolation_source,lab_host,note,strain,paper
103,103,LC155795,NA,,,LC155795.1,,"Plantago asiatica mosaic virus genomic RNA, complete genome, isolate: NJ",NA,Plantago asiatica mosaic virus,,6122,NA,19 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2014,"Japan:Tokyo, Toshima",taxon:28354,Nandina domestica,NJ,,,,,
91,91,KP090203,NA,,,KP090203.1,,"Schlumbergera virus X isolate Palma-PE, complete genome",NA,Schlumbergera virus X,,6615,NA,20 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",2012,Brazil,taxon:253700,Opuntia cochenillifera,Palma-PE,,,,,
95,95,KU854929,NA,,,KU854929.1,,"Schlumbergera virus X isolate nopal verdura 1, complete genome",NA,Schlumbergera virus X,,6646,NA,21 KB,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus",20-Aug-15,Mexico,taxon:253700,Opuntia ficus-indica,nopal verdura 1,,,,,
71,71,AY366207,NA,,,AY366207.2,,"Schlumbergera virus X strain K11, complete genome",NA,Schlumbergera virus X: K11,,6633,NA,18 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus,,,taxon:253700,Schlumbergera bridgesii,,,Chenopodium quinoa,previously Cactus virus X,K11,Koenig et al. 2004
97,97,KX196173,NA,,,KX196173.2,,"Senna mosaic virus isolate Brazilian, complete genome",NA,Senna mosaic virus,,6775,NA,19 KB,Viruses; Riboviria; Tymovirales; Alphaflexiviridae; Potexvirus; unclassified Potexvirus,9-Sep,Brazil,taxon:1881013,Senna occidentalis,Brazilian,,,,,
22,22,Schlumbergera_truncata_15H-03_pol_S48_potexvirus_-_NC_002815_consensus_sequence,2126850,99.70%,99.80%,,,"2,197,900 reads assembled to NC_002815",49410.42758,Virus from 15H-03_pol_S48,NC_002815,6614,NA,59 KB,,,,,Schlumbergera truncata,,,,,,
23,23,Schlumbergera_truncata__15H3__s_S50_potexvirus_-_NC_002815_consensus_sequence,3449154,99.60%,99.80%,,,"3,817,127 reads assembled to NC_002815",83075.62806,Virus from 15H3__s_S50,NC_002815,6614,NA,59 KB,,,,,Schlumbergera truncata,,,,,,
21,21,Schlumbergera_truncata_15H3_sty_S73_potexvirus_-_NC_002815_consensus_sequence,1460254,99.70%,99.80%,,,"1,609,915 reads assembled to NC_002815",34661.91639,Virus from 15H3_sty_S73,NC_002815,6614,NA,58 KB,,,,,Schlumbergera truncata,,,,,,
24,24,Schlumbergera_truncata__15H4P__p_S51_potexvirus_-_NC_002815_consensus_sequence,1578526,99.50%,99.90%,,,"1,766,341 reads assembled to NC_002815",38484.62474,Virus from 15H4P__p_S51,NC_002815,6614,NA,59 KB,,,,,Schlumbergera truncata,,,,,,
25,25,Schlumbergera_truncata__15H4PET__petal_S52_potexvirus_-_NC_002815_consensus_sequence,2925242,99.70%,99.90%,,,"3,196,987 reads assembled to NC_002815",69832.7153,Virus from 15H4PET__petal_S52,NC_002815,6614,NA,59 KB,,,,,Schlumbergera truncata,,,,,,
26,26,Schlumbergera_truncata__15H4S__s_S53_potexvirus_-_NC_002815_consensus_sequence,1139024,99.50%,99.90%,,,"1,250,893 reads assembled to NC_002815",27345.47415,Virus from 15H4S__s_S53,NC_002815,6614,NA,57 KB,,,,,Schlumbergera truncata,,,,,,
27,27,Schlumbergera_truncata__15H5P__p_S54_potexvirus_-_NC_002815_consensus_sequence,1166,98.60%,99.60%,,,"1,322 reads assembled to NC_002815",28.34048987,Virus from 15H5P__p_S54,NC_002815,6614,NA,38 KB,,,,,Schlumbergera truncata,,,,,,
28,28,Schlumbergera_truncata__15H6P__p_S56_potexvirus_-_NC_002815_consensus_sequence,5021856,99.60%,99.70%,,,"5,479,866 reads assembled to NC_002815",119987.3793,Virus from 15H6P__p_S56,NC_002815,6614,NA,60 KB,,,,,Schlumbergera truncata,,,,,,
29,29,Schlumbergera_truncata__15H6S__s_S57_potexvirus_-_NC_002815_consensus_sequence,5344586,99.90%,99.60%,,,"5,887,193 reads assembled to NC_002815",128599.7464,Virus from 15H6S__s_S57,NC_002815,6614,NA,60 KB,,,,,Schlumbergera truncata,,,,,,
20,20,Schlumbergera_SF19-1_sty_S45_potexvirus_-_NC_002815_consensus_sequence,38412,99.50%,99.40%,,,"40,497 reads assembled to NC_002815",904.8444209,Virus from SF19-1_sty_S45,NC_002815,6614,NA,43 KB,,,,,Schlumbergera sp.,,,,,,
7,7,Hylocereus_undatus_176265_SRR11190791_potexvirus_-_NC_002815_consensus_sequence,452784,99.60%,99.30%,,,"452,784 reads assembled to NC_002815",10097.06199,Virus from SRR11190791 Plant: BSJ-1,NC_002815,6614,NA,53 KB,,,,,Hylocereus undatus,,,,,,
57,57,Hylocereus_undatus_176265_SRR11190791_potexvirus_-_NC_024458_consensus_sequence,183824,100.00%,99.30%,,,"183,824 reads assembled to NC_024458",4064.588588,Virus from SRR11190791 Plant: BSJ-1,NC_024458,6677,NA,53 KB,,,,,Hylocereus undatus,,,,,,
8,8,Hylocereus_undatus_176265_SRR11190792_potexvirus_-_NC_002815_consensus_sequence,48082,99.50%,98.00%,,,"48,082 reads assembled to NC_002815",1079.404143,Virus from SRR11190792 Plant: BR-3,NC_002815,6614,NA,46 KB,,,,,Hylocereus undatus,,,,,,
58,58,Hylocereus_undatus_176265_SRR11190792_potexvirus_-_NC_024458_consensus_sequence,3054,99.80%,99.50%,,,"3,054 reads assembled to NC_024458",67.93230493,Virus from SRR11190792 Plant: BR-3,NC_024458,6677,NA,40 KB,,,,,Hylocereus undatus,,,,,,
9,9,Hylocereus_undatus_176265_SRR11190793_potexvirus_-_NC_002815_consensus_sequence,112772,99.50%,99.40%,,,"112,772 reads assembled to NC_002815",2536.704868,Virus from SRR11190793 Plant: BR-2,NC_002815,6614,NA,49 KB,,,,,Hylocereus undatus,,,,,,
59,59,Hylocereus_undatus_176265_SRR11190793_potexvirus_-_NC_024458_consensus_sequence,14622,99.70%,99.60%,,,"14,622 reads assembled to NC_024458",325.7418002,Virus from SRR11190793 Plant: BR-2,NC_024458,6677,NA,45 KB,,,,,Hylocereus undatus,,,,,,
1,1,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_002815_consensus_sequence,280210,99.70%,99.30%,,,"280,210 reads assembled to NC_002815",6280.297399,Virus from SRR11190795 Plant: FR-3,NC_002815,6614,NA,53 KB,,,,,Hylocereus polyrhizus,,,,,,
30,30,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_006059_consensus_sequence,1686,99.20%,97.00%,,,"1,686 reads assembled to NC_006059",37.46225845,Virus from SRR11190795 Plant: FR-3,NC_006059,6624,NA,37 KB,,,,,Hylocereus polyrhizus,,,,,,
41,41,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_011659_consensus_sequence,9826,98.00%,99.50%,,,"9,826 reads assembled to NC_011659",220.4144429,Virus from SRR11190795 Plant: FR-3,NC_011659,6633,NA,42 KB,,,,,Hylocereus polyrhizus,,,,,,
51,51,Hylocereus_polyrhizus_1195597_SRR11190795_potexvirus_-_NC_024458_consensus_sequence,98604,100.00%,99.40%,,,"98,604 reads assembled to NC_024458",2192.424592,Virus from SRR11190795 Plant: FR-3,NC_024458,6677,NA,49 KB,,,,,Hylocereus polyrhizus,,,,,,
2,2,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_002815_consensus_sequence,93508,99.60%,98.90%,,,"93,508 reads assembled to NC_002815",2099.497279,Virus from SRR11190796 Plant: FR-2,NC_002815,6614,NA,49 KB,,,,,Hylocereus polyrhizus,,,,,,
31,31,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_006059_consensus_sequence,3974,99.40%,96.70%,,,"3,974 reads assembled to NC_006059",88.73611111,Virus from SRR11190796 Plant: FR-2,NC_006059,6624,NA,41 KB,,,,,Hylocereus polyrhizus,,,,,,
42,42,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_011659_consensus_sequence,26640,99.00%,99.60%,,,"26,640 reads assembled to NC_011659",598.1062867,Virus from SRR11190796 Plant: FR-2,NC_011659,6633,NA,45 KB,,,,,Hylocereus polyrhizus,,,,,,
52,52,Hylocereus_polyrhizus_1195597_SRR11190796_potexvirus_-_NC_024458_consensus_sequence,250762,100.00%,99.20%,,,"250,762 reads assembled to NC_024458",5579.396286,Virus from SRR11190796 Plant: FR-2,NC_024458,6677,NA,54 KB,,,,,Hylocereus polyrhizus,,,,,,
3,3,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_002815_consensus_sequence,108752,99.60%,98.20%,,,"108,752 reads assembled to NC_002815",2426.628213,Virus from SRR11190797 Plant: FR-1,NC_002815,6614,NA,49 KB,,,,,Hylocereus polyrhizus,,,,,,
32,32,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_006059_consensus_sequence,4164,99.80%,95.60%,,,"4,164 reads assembled to NC_006059",92.36262077,Virus from SRR11190797 Plant: FR-1,NC_006059,6624,NA,40 KB,,,,,Hylocereus polyrhizus,,,,,,
43,43,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_011659_consensus_sequence,48262,98.20%,99.30%,,,"48,262 reads assembled to NC_011659",1077.0199,Virus from SRR11190797 Plant: FR-1,NC_011659,6633,NA,46 KB,,,,,Hylocereus polyrhizus,,,,,,
53,53,Hylocereus_polyrhizus_1195597_SRR11190797_potexvirus_-_NC_024458_consensus_sequence,174598,99.90%,98.50%,,,"174,598 reads assembled to NC_024458",3855.833159,Virus from SRR11190797 Plant: FR-1,NC_024458,6677,NA,52 KB,,,,,Hylocereus polyrhizus,,,,,,
4,4,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_002815_consensus_sequence,46438,99.60%,98.10%,,,"46,438 reads assembled to NC_002815",1035.785455,Virus from SRR11190798 Plant: DH-3,NC_002815,6614,NA,47 KB,,,,,Hylocereus polyrhizus,,,,,,
33,33,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_006059_consensus_sequence,10292,99.80%,96.30%,,,"10,292 reads assembled to NC_006059",229.9144022,Virus from SRR11190798 Plant: DH-3,NC_006059,6624,NA,42 KB,,,,,Hylocereus polyrhizus,,,,,,
44,44,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_011659_consensus_sequence,74072,99.70%,95.70%,,,"74,072 reads assembled to NC_011659",1654.827831,Virus from SRR11190798 Plant: DH-3,NC_011659,6633,NA,48 KB,,,,,Hylocereus polyrhizus,,,,,,
54,54,Hylocereus_polyrhizus_1195597_SRR11190798_potexvirus_-_NC_024458_consensus_sequence,271450,100.00%,98.20%,,,"271,450 reads assembled to NC_024458",6005.159653,Virus from SRR11190798 Plant: DH-3,NC_024458,6677,NA,53 KB,,,,,Hylocereus polyrhizus,,,,,,
10,10,Hylocereus_undatus_176265_SRR11190799_potexvirus_-_NC_002815_consensus_sequence,353010,99.60%,99.00%,,,"353,010 reads assembled to NC_002815",7857.462957,Virus from SRR11190799 Plant: BSJ-3,NC_002815,6614,NA,53 KB,,,,,Hylocereus undatus,,,,,,
60,60,Hylocereus_undatus_176265_SRR11190799_potexvirus_-_NC_024458_consensus_sequence,164078,99.90%,99.20%,,,"164,078 reads assembled to NC_024458",3618.940692,Virus from SRR11190799 Plant: BSJ-3,NC_024458,6677,NA,51 KB,,,,,Hylocereus undatus,,,,,,
11,11,Hylocereus_undatus_176265_SRR11190800_potexvirus_-_NC_002815_consensus_sequence,364240,99.60%,99.20%,,,"364,240 reads assembled to NC_002815",8117.599335,Virus from SRR11190800 Plant: BSJ-2,NC_002815,6614,NA,53 KB,,,,,Hylocereus undatus,,,,,,
61,61,Hylocereus_undatus_176265_SRR11190800_potexvirus_-_NC_024458_consensus_sequence,235002,99.90%,99.30%,,,"235,002 reads assembled to NC_024458",5196.444361,Virus from SRR11190800 Plant: BSJ-2,NC_024458,6677,NA,53 KB,,,,,Hylocereus undatus,,,,,,
5,5,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_002815_consensus_sequence,45396,99.40%,98.30%,,,"45,396 reads assembled to NC_002815",1011.93423,Virus from SRR11190801 Plant: DH-2,NC_002815,6614,NA,47 KB,,,,,Hylocereus polyrhizus,,,,,,
34,34,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_006059_consensus_sequence,8536,99.80%,96.70%,,,"8,536 reads assembled to NC_006059",190.022494,Virus from SRR11190801 Plant: DH-2,NC_006059,6624,NA,41 KB,,,,,Hylocereus polyrhizus,,,,,,
45,45,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_011659_consensus_sequence,118540,99.70%,95.60%,,,"118,540 reads assembled to NC_011659",2645.037087,Virus from SRR11190801 Plant: DH-2,NC_011659,6633,NA,49 KB,,,,,Hylocereus polyrhizus,,,,,,
55,55,Hylocereus_polyrhizus_1195597_SRR11190801_potexvirus_-_NC_024458_consensus_sequence,351682,100.00%,98.30%,,,"351,682 reads assembled to NC_024458",7772.003744,Virus from SRR11190801 Plant: DH-2,NC_024458,6677,NA,54 KB,,,,,Hylocereus polyrhizus,,,,,,
6,6,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_002815_consensus_sequence,45326,99.50%,98.30%,,,"45,326 reads assembled to NC_002815",1010.619595,Virus from SRR11190802 Plant: DH-1,NC_002815,6614,NA,47 KB,,,,,Hylocereus polyrhizus,,,,,,
35,35,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_006059_consensus_sequence,6190,99.80%,97.00%,,,"6,190 reads assembled to NC_006059",138.1933877,Virus from SRR11190802 Plant: DH-1,NC_006059,6624,NA,41 KB,,,,,Hylocereus polyrhizus,,,,,,
46,46,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_011659_consensus_sequence,137996,99.70%,98.80%,,,"137,996 reads assembled to NC_011659",3083.758782,Virus from SRR11190802 Plant: DH-1,NC_011659,6633,NA,50 KB,,,,,Hylocereus polyrhizus,,,,,,
56,56,Hylocereus_polyrhizus_1195597_SRR11190802_potexvirus_-_NC_024458_consensus_sequence,358996,99.90%,98.30%,,,"358,996 reads assembled to NC_024458",7939.711996,Virus from SRR11190802 Plant: DH-1,NC_024458,6677,NA,54 KB,,,,,Hylocereus polyrhizus,,,,,,
12,12,Hylocereus_undatus_176265_SRR11603182_potexvirus_-_NC_002815_consensus_sequence,150860,99.60%,98.60%,,,"150,860 reads assembled to NC_002815",3392.304203,Virus from SRR11603182 GW-peel-3,NC_002815,6614,NA,51 KB,,,,,Hylocereus undatus,,,,,,
62,62,Hylocereus_undatus_176265_SRR11603182_potexvirus_-_NC_024458_consensus_sequence,173498,100.00%,98.40%,,,"173,498 reads assembled to NC_024458",3863.912236,Virus from SRR11603182 GW-peel-3,NC_024458,6677,NA,53 KB,,,,,Hylocereus undatus,,,,,,
13,13,Hylocereus_undatus_176265_SRR11603183_potexvirus_-_NC_002815_consensus_sequence,96454,99.60%,98.50%,,,"96,454 reads assembled to NC_002815",2166.046719,Virus from SRR11603183 GW-peel-2,NC_002815,6614,NA,48 KB,,,,,Hylocereus undatus,,,,,,
47,47,Hylocereus_undatus_176265_SRR11603183_potexvirus_-_NC_011659_consensus_sequence,69716,99.90%,97.30%,,,"69,716 reads assembled to NC_011659",1563.309362,Virus from SRR11603183 GW-peel-2,NC_011659,6633,NA,47 KB,,,,,Hylocereus undatus,,,,,,
63,63,Hylocereus_undatus_176265_SRR11603183_potexvirus_-_NC_024458_consensus_sequence,142802,100.00%,98.40%,,,"142,802 reads assembled to NC_024458",3174.849334,Virus from SRR11603183 GW-peel-2,NC_024458,6677,NA,51 KB,,,,,Hylocereus undatus,,,,,,
14,14,Hylocereus_undatus_176265_SRR11603184_potexvirus_-_NC_002815_consensus_sequence,88358,99.60%,98.90%,,,"88,358 reads assembled to NC_002815",1987.160115,Virus from SRR11603184 GW-peel-1,NC_002815,6614,NA,48 KB,,,,,Hylocereus undatus,,,,,,
48,48,Hylocereus_undatus_176265_SRR11603184_potexvirus_-_NC_011659_consensus_sequence,49492,99.80%,96.20%,,,"49,492 reads assembled to NC_011659",1111.767526,Virus from SRR11603184 GW-peel-1,NC_011659,6633,NA,47 KB,,,,,Hylocereus undatus,,,,,,
64,64,Hylocereus_undatus_176265_SRR11603184_potexvirus_-_NC_024458_consensus_sequence,135636,100.00%,98.60%,,,"135,636 reads assembled to NC_024458",3021.305826,Virus from SRR11603184 GW-peel-1,NC_024458,6677,NA,51 KB,,,,,Hylocereus undatus,,,,,,
15,15,Hylocereus_undatus_176265_SRR11603186_potexvirus_-_NC_002815_consensus_sequence,285868,99.60%,99.50%,,,"285,868 reads assembled to NC_002815",6425.863925,Virus from SRR11603186 RR-pulp-3,NC_002815,6614,NA,53 KB,,,,,Hylocereus undatus,,,,,,
36,36,Hylocereus_undatus_176265_SRR11603186_potexvirus_-_NC_006059_consensus_sequence,210786,100.00%,99.30%,,,"210,786 reads assembled to NC_006059",4738.702899,Virus from SRR11603186 RR-pulp-3,NC_006059,6624,NA,53 KB,,,,,Hylocereus undatus,,,,,,
65,65,Hylocereus_undatus_176265_SRR11603186_potexvirus_-_NC_024458_consensus_sequence,330210,100.00%,99.40%,,,"330,210 reads assembled to NC_024458",7346.561929,Virus from SRR11603186 RR-pulp-3,NC_024458,6677,NA,54 KB,,,,,Hylocereus undatus,,,,,,
