Name,Accession,Created Date,Description,Organism,Sequence Length,Size,host
KM288842,KM288842.1,Fri Sep 30 00:00:00 CDT 2016,"Zygocactus virus X isolate TW-4XB-2 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,2403,15 KB,Hylocereus sp. (pitaya)
KM288843,KM288843.1,Fri Sep 30 00:00:00 CDT 2016,"Zygocactus virus X isolate TW-456Y-4 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,1671,13 KB,Hylocereus sp. (pitaya)
KM288844,KM288844.1,Fri Sep 30 00:00:00 CDT 2016,"Zygocactus virus X isolate TW-5149-5 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,2399,16 KB,Hylocereus sp. (pitaya)
KM288845,KM288845.1,Fri Sep 30 00:00:00 CDT 2016,"Zygocactus virus X isolate TW-5149-17 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Zygocactus virus X,2397,16 KB,Hylocereus sp. (pitaya)
KM288846,KM288846.1,Fri Sep 30 00:00:00 CDT 2016,"Cactus virus X isolate TW-5XB-1 replication-associated protein (RdRP) gene, partial cds; and triple gene block protein 1 (TGB1), triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Cactus virus X,2418,16 KB,Hylocereus sp. (pitaya)
KM288847,KM288847.1,Fri Sep 30 00:00:00 CDT 2016,"Cactus virus X isolate TW-456Y-1 triple gene block protein 1 (TGB1) gene, partial cds; and triple gene block protein 2 (TGB2), triple gene block protein 3 (TGB3), and coat protein (CP) genes, complete cds",Cactus virus X,1675,13 KB,Hylocereus sp. (pitaya)
KM365479,KM365479.1,Mon Nov 17 00:00:00 CST 2014,"Cactus virus X isolate TW-5149-20 replication-associated protein (CVXgp1) gene, partial cds; and triple gene block protein 1 (CVXgp2), triple gene block protein 2 (CVXgp3), triple gene block protein 3 (CVXgp4), and coat protein (CVXgp5) genes, complete cds",Cactus virus X,2396,15 KB,Hylocereus sp. (pitaya)
KP090203,KP090203.1,Tue Jan 27 00:00:00 CST 2015,"Schlumbergera virus X isolate Palma-PE, complete genome",Schlumbergera virus X,6615,20 KB,Opuntia cochenillifera
KT717325,KT717325.1,Sat Feb 13 00:00:00 CST 2016,"Plantago asiatica mosaic virus isolate kr, complete genome",Plantago asiatica mosaic virus,6101,19 KB,Lilium sp.
KU159093,KU159093.1,Wed Apr 20 00:00:00 CDT 2016,"Plantago asiatica mosaic virus isolate Ko-YS, complete genome",Plantago asiatica mosaic virus,6102,17 KB,lily
KU697313,KU697313.1,Mon Mar 07 00:00:00 CST 2016,"Plantago asiatica mosaic virus isolate Gunwi, complete genome",Plantago asiatica mosaic virus,6130,19 KB,Plantago asiatica
KU854929,KU854929.1,Tue May 31 00:00:00 CDT 2016,"Schlumbergera virus X isolate nopal verdura 1, complete genome",Schlumbergera virus X,6646,21 KB,Opuntia ficus-indica
KU854931,KU854931.1,Tue May 31 00:00:00 CDT 2016,"Opuntia virus X isolate nopal verdura-1, complete genome",Opuntia virus X,6667,21 KB,Opuntia ficus-indica
KX196173,KX196173.2,Sun Jul 31 00:00:00 CDT 2016,"Senna mosaic virus isolate Brazilian, complete genome",Senna mosaic virus,6775,20 KB,Senna occidentalis
KX883791,KX883791.1,Sat Dec 10 00:00:00 CST 2016,"Cactus virus X strain SCM51431 ORF1, ORF2, ORF3, and ORF4 genes, complete cds",Cactus virus X,6610,20 KB,Diptera
KY348771,KY348771.1,Mon Nov 13 00:00:00 CST 2017,"Opuntia virus X isolate Noptuna-Mex, complete genome",Opuntia virus X,6656,20 KB,Opuntia albicarpa cv. nopal tunero
LC107515,LC107515.1,Tue Feb 02 00:00:00 CST 2016,"Alternanthera mosaic virus genomic RNA, complete genome, isolate: Ac",Alternanthera mosaic virus,6604,21 KB,Achyranthes bidentata
LC107517,LC107517.1,Tue Feb 02 00:00:00 CST 2016,"Hydrangea ringspot virus genomic RNA, complete genome, isolate: Gu2",Hydrangea ringspot virus,6196,22 KB,Hydrangea macrophylla
LC128411,LC128411.1,Wed Mar 30 00:00:00 CDT 2016,"Cactus virus X genomic RNA, complete genome",Cactus virus X,6618,19 KB,Hylocereus undatus
LC155795,LC155795.1,Fri Mar 24 00:00:00 CDT 2017,"Plantago asiatica mosaic virus genomic RNA, complete genome, isolate: NJ",Plantago asiatica mosaic virus,6122,20 KB,Nandina domestica
MF978248,MF978248.1,Tue Dec 26 00:00:00 CST 2017,"Babaco mosaic virus isolate Tandapi, complete genome",Babaco mosaic virus,6692,20 KB,Vasconcellea x heilbornii
MG210801,MG210801.1,Tue Oct 30 00:00:00 CDT 2018,"Mytcor virus 1 replicative protein gene, partial cds; and protein 2 and protein 3 genes, complete cds",Mytcor virus 1,5689,14 KB,Mytilus coruscus
MH423501,MH423501.1,Sun Feb 17 00:00:00 CST 2019,"Alternanthera mosaic virus isolate DH, complete genome",Alternanthera mosaic virus,6598,18 KB,Epiphyllum sp. cv. Dragon Heart
